True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat vs wig,,,t=-2.53 p=1.26e-02 q=3.08e-02 d=0.20,t=-4.42 p=0.00e+00 q=1.00e-04 d=0.25,t=4.01 p=1.00e-04 q=5.00e-04 d=0.34,t=2.69 p=8.00e-03 q=2.10e-02 d=0.17,t=3.19 p=1.80e-03 q=5.80e-03 d=0.21,,t=7.31 p=0.00e+00 q=0.00e+00 d=0.71,t=-2.64 p=9.40e-03 q=2.39e-02 d=0.32,t=-4.78 p=0.00e+00 q=0.00e+00 d=0.54,t=2.77 p=6.50e-03 q=1.75e-02 d=0.41
labcoat vs lipstick,,t=-4.83 p=0.00e+00 q=0.00e+00 d=0.60,t=2.46 p=1.54e-02 q=3.63e-02 d=0.32,t=-9.48 p=0.00e+00 q=0.00e+00 d=0.99,t=4.54 p=0.00e+00 q=1.00e-04 d=0.56,,t=3.23 p=1.60e-03 q=5.20e-03 d=0.29,t=5.88 p=0.00e+00 q=0.00e+00 d=0.60,t=6.04 p=0.00e+00 q=0.00e+00 d=0.54,t=-4.50 p=0.00e+00 q=1.00e-04 d=0.55,,t=-6.56 p=0.00e+00 q=0.00e+00 d=1.02
labcoat vs bra,,t=-2.36 p=1.99e-02 q=4.54e-02 d=0.06,,,,,,t=12.15 p=0.00e+00 q=0.00e+00 d=0.88,t=8.22 p=0.00e+00 q=0.00e+00 d=0.93,t=-9.73 p=0.00e+00 q=0.00e+00 d=0.96,t=-2.80 p=6.00e-03 q=1.63e-02 d=0.31,
labcoat vs windsor,,,,t=-2.63 p=9.70e-03 q=2.46e-02 d=0.07,t=3.31 p=1.20e-03 q=4.10e-03 d=0.29,,,,,t=-3.06 p=2.70e-03 q=8.20e-03 d=0.41,t=-10.63 p=0.00e+00 q=0.00e+00 d=1.37,t=13.27 p=0.00e+00 q=0.00e+00 d=1.60
labcoat vs desk,,,t=3.69 p=3.00e-04 q=1.30e-03 d=0.34,t=-2.31 p=2.23e-02 q=5.00e-02 d=0.21,,,t=5.36 p=0.00e+00 q=0.00e+00 d=0.28,t=4.73 p=0.00e+00 q=0.00e+00 d=0.36,t=2.92 p=4.10e-03 q=1.17e-02 d=0.24,t=-4.29 p=0.00e+00 q=2.00e-04 d=0.38,t=-5.61 p=0.00e+00 q=0.00e+00 d=0.73,t=-8.18 p=0.00e+00 q=0.00e+00 d=0.88
labcoat vs library,t=2.83 p=5.50e-03 q=1.51e-02 d=0.08,,t=3.04 p=2.90e-03 q=8.70e-03 d=0.23,,t=2.77 p=6.50e-03 q=1.77e-02 d=0.17,,t=6.27 p=0.00e+00 q=0.00e+00 d=0.28,t=2.93 p=4.00e-03 q=1.16e-02 d=0.17,t=7.35 p=0.00e+00 q=0.00e+00 d=0.49,t=-7.89 p=0.00e+00 q=0.00e+00 d=0.47,,t=2.37 p=1.93e-02 q=4.42e-02 d=0.26
stethoscope vs jeans,t=-3.84 p=2.00e-04 q=8.00e-04 d=0.20,t=-3.74 p=3.00e-04 q=1.10e-03 d=0.23,t=-3.81 p=2.00e-04 q=9.00e-04 d=0.27,t=-3.38 p=1.00e-03 q=3.30e-03 d=0.28,,,,t=10.76 p=0.00e+00 q=0.00e+00 d=0.92,t=4.72 p=0.00e+00 q=0.00e+00 d=0.55,t=-2.88 p=4.60e-03 q=1.31e-02 d=0.33,,
stethoscope vs cardigan,,,t=-3.93 p=1.00e-04 q=6.00e-04 d=0.27,,,,,t=6.10 p=0.00e+00 q=0.00e+00 d=0.40,t=6.19 p=0.00e+00 q=0.00e+00 d=0.63,,t=-9.64 p=0.00e+00 q=0.00e+00 d=1.00,
stethoscope vs miniskirt,,,t=-2.32 p=2.18e-02 q=4.90e-02 d=0.14,,t=-3.39 p=9.00e-04 q=3.20e-03 d=0.36,,t=4.79 p=0.00e+00 q=0.00e+00 d=0.33,t=14.11 p=0.00e+00 q=0.00e+00 d=1.04,t=6.75 p=0.00e+00 q=0.00e+00 d=0.83,t=-6.34 p=0.00e+00 q=0.00e+00 d=0.51,t=-7.55 p=0.00e+00 q=0.00e+00 d=0.95,t=-6.54 p=0.00e+00 q=0.00e+00 d=0.73
stethoscope vs academicgown,,,,t=2.48 p=1.43e-02 q=3.42e-02 d=0.08,t=-2.81 p=5.70e-03 q=1.58e-02 d=0.23,,,t=-3.14 p=2.10e-03 q=6.60e-03 d=0.19,,t=-2.99 p=3.40e-03 q=9.90e-03 d=0.33,t=-10.74 p=0.00e+00 q=0.00e+00 d=1.40,t=5.30 p=0.00e+00 q=0.00e+00 d=0.67
stethoscope vs pajamas,t=-3.29 p=1.30e-03 q=4.30e-03 d=0.17,t=-2.74 p=7.00e-03 q=1.87e-02 d=0.12,t=-2.88 p=4.60e-03 q=1.31e-02 d=0.20,t=-2.50 p=1.37e-02 q=3.30e-02 d=0.22,t=-3.50 p=7.00e-04 q=2.40e-03 d=0.35,t=2.45 p=1.58e-02 q=3.73e-02 d=0.16,t=4.39 p=0.00e+00 q=1.00e-04 d=0.27,t=10.51 p=0.00e+00 q=0.00e+00 d=0.63,t=6.06 p=0.00e+00 q=0.00e+00 d=0.50,t=-3.54 p=6.00e-04 q=2.10e-03 d=0.33,t=-10.17 p=0.00e+00 q=0.00e+00 d=1.05,
stethoscope vs oscilloscope,t=-3.19 p=1.80e-03 q=5.80e-03 d=0.36,t=-3.88 p=2.00e-04 q=7.00e-04 d=0.50,t=2.33 p=2.15e-02 q=4.86e-02 d=0.28,t=-8.15 p=0.00e+00 q=0.00e+00 d=1.03,,t=2.80 p=5.90e-03 q=1.61e-02 d=0.29,t=4.19 p=1.00e-04 q=2.00e-04 d=0.41,t=-4.48 p=0.00e+00 q=1.00e-04 d=0.48,,t=-2.64 p=9.30e-03 q=2.37e-02 d=0.34,t=-3.48 p=7.00e-04 q=2.50e-03 d=0.53,t=6.50 p=0.00e+00 q=0.00e+00 d=0.33
stethoscope vs suit,,,t=-3.26 p=1.40e-03 q=4.70e-03 d=0.19,t=2.86 p=5.00e-03 q=1.40e-02 d=0.09,t=-2.92 p=4.10e-03 q=1.18e-02 d=0.24,,,t=-5.12 p=0.00e+00 q=0.00e+00 d=0.31,,,,
stethoscope vs notePC,,,,,t=-2.56 p=1.18e-02 q=2.91e-02 d=0.18,t=2.45 p=1.58e-02 q=3.72e-02 d=0.15,t=4.65 p=0.00e+00 q=0.00e+00 d=0.20,t=4.45 p=0.00e+00 q=1.00e-04 d=0.25,t=3.94 p=1.00e-04 q=6.00e-04 d=0.28,,t=-8.34 p=0.00e+00 q=0.00e+00 d=0.80,
stethoscope vs sunscreen,t=3.34 p=1.10e-03 q=3.80e-03 d=0.13,t=-2.69 p=8.20e-03 q=2.13e-02 d=0.12,,t=-3.64 p=4.00e-04 q=1.50e-03 d=0.16,,t=3.31 p=1.20e-03 q=4.10e-03 d=0.22,t=3.00 p=3.30e-03 q=9.70e-03 d=0.29,t=6.17 p=0.00e+00 q=0.00e+00 d=0.46,,t=-2.34 p=2.10e-02 q=4.76e-02 d=0.23,t=-2.75 p=6.90e-03 q=1.84e-02 d=0.33,t=11.22 p=0.00e+00 q=0.00e+00 d=0.67
stethoscope vs wig,,,t=-3.97 p=1.00e-04 q=5.00e-04 d=0.34,t=-2.96 p=3.60e-03 q=1.06e-02 d=0.17,,t=3.78 p=2.00e-04 q=1.00e-03 d=0.23,t=3.73 p=3.00e-04 q=1.10e-03 d=0.27,,t=6.26 p=0.00e+00 q=0.00e+00 d=0.66,,t=-2.74 p=7.00e-03 q=1.86e-02 d=0.37,
stethoscope vs lipstick,,t=-4.77 p=0.00e+00 q=0.00e+00 d=0.58,,t=-9.04 p=0.00e+00 q=0.00e+00 d=0.88,t=3.83 p=2.00e-04 q=8.00e-04 d=0.33,t=2.99 p=3.30e-03 q=9.80e-03 d=0.30,t=4.52 p=0.00e+00 q=1.00e-04 d=0.34,t=4.88 p=0.00e+00 q=0.00e+00 d=0.50,t=5.85 p=0.00e+00 q=0.00e+00 d=0.51,t=-4.29 p=0.00e+00 q=2.00e-04 d=0.41,,t=-6.91 p=0.00e+00 q=0.00e+00 d=0.91
stethoscope vs bra,t=-2.97 p=3.60e-03 q=1.05e-02 d=0.05,,,,t=-3.11 p=2.30e-03 q=7.10e-03 d=0.32,,t=2.47 p=1.49e-02 q=3.53e-02 d=0.19,t=12.00 p=0.00e+00 q=0.00e+00 d=0.78,t=7.32 p=0.00e+00 q=0.00e+00 d=0.88,t=-6.16 p=0.00e+00 q=0.00e+00 d=0.64,,
stethoscope vs windsor,,,t=-3.50 p=6.00e-04 q=2.30e-03 d=0.25,,,,,,,,t=-18.28 p=0.00e+00 q=0.00e+00 d=1.22,t=5.08 p=0.00e+00 q=0.00e+00 d=0.78
stethoscope vs desk,t=-3.13 p=2.20e-03 q=6.80e-03 d=0.16,,t=2.61 p=1.03e-02 q=2.58e-02 d=0.23,,,,t=5.28 p=0.00e+00 q=0.00e+00 d=0.33,t=4.04 p=1.00e-04 q=4.00e-04 d=0.27,t=2.53 p=1.28e-02 q=3.11e-02 d=0.22,t=-2.83 p=5.50e-03 q=1.52e-02 d=0.25,t=-3.00 p=3.30e-03 q=9.60e-03 d=0.40,t=-7.67 p=0.00e+00 q=0.00e+00 d=0.92
stethoscope vs library,,,,,,t=2.52 p=1.30e-02 q=3.14e-02 d=0.13,t=5.64 p=0.00e+00 q=0.00e+00 d=0.33,,t=6.33 p=0.00e+00 q=0.00e+00 d=0.47,t=-3.70 p=3.00e-04 q=1.30e-03 d=0.30,t=2.46 p=1.53e-02 q=3.62e-02 d=0.34,
jeans vs cardigan,t=3.98 p=1.00e-04 q=5.00e-04 d=0.15,t=3.68 p=3.00e-04 q=1.40e-03 d=0.24,,t=3.57 p=5.00e-04 q=1.90e-03 d=0.18,,,,t=-5.85 p=0.00e+00 q=0.00e+00 d=0.46,,,t=-5.61 p=0.00e+00 q=0.00e+00 d=0.84,t=-4.71 p=0.00e+00 q=0.00e+00 d=0.31
jeans vs miniskirt,t=3.48 p=7.00e-04 q=2.50e-03 d=0.15,t=4.76 p=0.00e+00 q=0.00e+00 d=0.32,,t=3.21 p=1.70e-03 q=5.40e-03 d=0.23,,,t=3.17 p=1.90e-03 q=6.10e-03 d=0.27,t=3.46 p=7.00e-04 q=2.60e-03 d=0.32,t=4.29 p=0.00e+00 q=2.00e-04 d=0.40,t=-3.25 p=1.50e-03 q=4.90e-03 d=0.36,t=-4.71 p=0.00e+00 q=0.00e+00 d=0.77,t=-6.20 p=0.00e+00 q=0.00e+00 d=0.77
jeans vs academicgown,t=3.54 p=6.00e-04 q=2.10e-03 d=0.20,t=3.29 p=1.30e-03 q=4.30e-03 d=0.25,,t=4.27 p=0.00e+00 q=2.00e-04 d=0.36,,,,t=-12.77 p=0.00e+00 q=0.00e+00 d=1.32,t=-3.77 p=2.00e-04 q=1.00e-03 d=0.40,,t=-7.91 p=0.00e+00 q=0.00e+00 d=0.84,t=2.34 p=2.07e-02 q=4.70e-02 d=0.35
jeans vs pajamas,,,,,,,t=2.48 p=1.46e-02 q=3.47e-02 d=0.21,,,,t=-6.17 p=0.00e+00 q=0.00e+00 d=0.62,
jeans vs oscilloscope,,,t=4.59 p=0.00e+00 q=1.00e-04 d=0.53,t=-5.38 p=0.00e+00 q=0.00e+00 d=0.74,t=3.77 p=2.00e-04 q=1.00e-03 d=0.50,,t=3.56 p=5.00e-04 q=2.00e-03 d=0.35,t=-14.06 p=0.00e+00 q=0.00e+00 d=1.54,t=-4.67 p=0.00e+00 q=0.00e+00 d=0.57,,t=-2.65 p=9.00e-03 q=2.31e-02 d=0.30,
jeans vs suit,t=3.06 p=2.70e-03 q=8.10e-03 d=0.17,t=4.47 p=0.00e+00 q=1.00e-04 d=0.28,,t=4.48 p=0.00e+00 q=1.00e-04 d=0.36,,,,t=-15.68 p=0.00e+00 q=0.00e+00 d=1.43,t=-4.19 p=1.00e-04 q=2.00e-04 d=0.41,t=6.28 p=0.00e+00 q=0.00e+00 d=0.82,,
jeans vs notePC,,t=3.35 p=1.10e-03 q=3.60e-03 d=0.20,t=5.18 p=0.00e+00 q=0.00e+00 d=0.40,,,,,t=-8.46 p=0.00e+00 q=0.00e+00 d=0.68,t=-3.91 p=2.00e-04 q=7.00e-04 d=0.41,t=3.57 p=5.00e-04 q=1.90e-03 d=0.40,t=-4.94 p=0.00e+00 q=0.00e+00 d=0.54,
jeans vs sunscreen,t=5.72 p=0.00e+00 q=0.00e+00 d=0.34,,t=3.56 p=5.00e-04 q=2.00e-03 d=0.32,,,,t=2.50 p=1.39e-02 q=3.33e-02 d=0.23,t=-5.21 p=0.00e+00 q=0.00e+00 d=0.37,t=-2.88 p=4.70e-03 q=1.33e-02 d=0.36,,t=-2.86 p=4.90e-03 q=1.38e-02 d=0.19,
jeans vs wig,,t=3.13 p=2.20e-03 q=6.80e-03 d=0.22,,,t=4.05 p=1.00e-04 q=4.00e-04 d=0.39,,t=2.57 p=1.13e-02 q=2.79e-02 d=0.20,t=-12.80 p=0.00e+00 q=0.00e+00 d=1.02,,t=3.64 p=4.00e-04 q=1.50e-03 d=0.46,,
jeans vs lipstick,,t=-2.39 p=1.83e-02 q=4.22e-02 d=0.31,t=3.90 p=2.00e-04 q=7.00e-04 d=0.46,t=-5.81 p=0.00e+00 q=0.00e+00 d=0.54,t=4.40 p=0.00e+00 q=1.00e-04 d=0.61,,t=3.47 p=7.00e-04 q=2.60e-03 d=0.28,t=-4.01 p=1.00e-04 q=5.00e-04 d=0.40,,,t=2.45 p=1.55e-02 q=3.67e-02 d=0.26,t=-7.74 p=0.00e+00 q=0.00e+00 d=0.80
jeans vs bra,t=2.76 p=6.70e-03 q=1.80e-02 d=0.14,t=3.05 p=2.80e-03 q=8.30e-03 d=0.20,t=2.55 p=1.19e-02 q=2.92e-02 d=0.16,t=4.11 p=1.00e-04 q=3.00e-04 d=0.31,,,,,t=4.76 p=0.00e+00 q=0.00e+00 d=0.45,t=-7.35 p=0.00e+00 q=0.00e+00 d=0.67,,t=-4.72 p=0.00e+00 q=0.00e+00 d=0.40
jeans vs windsor,t=2.90 p=4.40e-03 q=1.24e-02 d=0.17,t=2.62 p=9.80e-03 q=2.48e-02 d=0.19,,t=3.38 p=1.00e-03 q=3.30e-03 d=0.28,t=2.65 p=9.10e-03 q=2.33e-02 d=0.32,,,t=-13.06 p=0.00e+00 q=0.00e+00 d=1.29,t=-5.58 p=0.00e+00 q=0.00e+00 d=0.59,,t=-5.81 p=0.00e+00 q=0.00e+00 d=0.82,t=5.92 p=0.00e+00 q=0.00e+00 d=0.39
jeans vs desk,,,t=4.59 p=0.00e+00 q=1.00e-04 d=0.48,,,,t=2.85 p=5.10e-03 q=1.42e-02 d=0.27,t=-6.31 p=0.00e+00 q=0.00e+00 d=0.59,t=-4.23 p=0.00e+00 q=2.00e-04 d=0.46,,,t=-5.38 p=0.00e+00 q=0.00e+00 d=0.84
jeans vs library,t=4.03 p=1.00e-04 q=4.00e-04 d=0.24,t=3.11 p=2.30e-03 q=7.10e-03 d=0.26,t=3.51 p=6.00e-04 q=2.30e-03 d=0.37,t=3.34 p=1.10e-03 q=3.70e-03 d=0.30,,,t=3.04 p=2.90e-03 q=8.70e-03 d=0.27,t=-9.37 p=0.00e+00 q=0.00e+00 d=0.89,,,t=2.91 p=4.30e-03 q=1.23e-02 d=0.30,
cardigan vs miniskirt,,,,,t=-3.07 p=2.70e-03 q=8.10e-03 d=0.30,,t=2.81 p=5.80e-03 q=1.58e-02 d=0.26,t=9.85 p=0.00e+00 q=0.00e+00 d=0.65,t=3.76 p=3.00e-04 q=1.00e-03 d=0.34,t=-5.19 p=0.00e+00 q=0.00e+00 d=0.37,,t=-5.42 p=0.00e+00 q=0.00e+00 d=0.60
cardigan vs academicgown,,,,t=2.50 p=1.38e-02 q=3.30e-02 d=0.17,,,,t=-7.08 p=0.00e+00 q=0.00e+00 d=0.65,t=-4.78 p=0.00e+00 q=0.00e+00 d=0.48,,t=2.59 p=1.07e-02 q=2.68e-02 d=0.33,t=5.37 p=0.00e+00 q=0.00e+00 d=0.84
cardigan vs pajamas,t=-2.98 p=3.50e-03 q=1.02e-02 d=0.13,t=-2.70 p=7.90e-03 q=2.06e-02 d=0.13,,,t=-3.20 p=1.80e-03 q=5.70e-03 d=0.29,,t=2.44 p=1.62e-02 q=3.80e-02 d=0.20,t=3.88 p=2.00e-04 q=7.00e-04 d=0.26,,t=-2.51 p=1.33e-02 q=3.21e-02 d=0.20,t=3.86 p=2.00e-04 q=8.00e-04 d=0.49,t=3.69 p=3.00e-04 q=1.30e-03 d=0.30
cardigan vs oscilloscope,t=-2.62 p=1.00e-02 q=2.53e-02 d=0.31,t=-3.73 p=3.00e-04 q=1.10e-03 d=0.51,t=4.10 p=1.00e-04 q=3.00e-04 d=0.52,t=-6.51 p=0.00e+00 q=0.00e+00 d=0.91,t=2.82 p=5.60e-03 q=1.55e-02 d=0.32,t=2.48 p=1.44e-02 q=3.43e-02 d=0.28,t=2.76 p=6.60e-03 q=1.78e-02 d=0.36,t=-7.10 p=0.00e+00 q=0.00e+00 d=0.91,t=-6.43 p=0.00e+00 q=0.00e+00 d=0.68,,t=4.86 p=0.00e+00 q=0.00e+00 d=0.70,t=3.68 p=3.00e-04 q=1.30e-03 d=0.54
cardigan vs suit,,,,t=2.62 p=9.80e-03 q=2.49e-02 d=0.17,,,t=-2.96 p=3.60e-03 q=1.06e-02 d=0.24,t=-8.39 p=0.00e+00 q=0.00e+00 d=0.76,t=-4.98 p=0.00e+00 q=0.00e+00 d=0.48,t=3.24 p=1.50e-03 q=4.90e-03 d=0.33,t=5.32 p=0.00e+00 q=0.00e+00 d=0.85,
cardigan vs notePC,,,t=4.17 p=1.00e-04 q=3.00e-04 d=0.40,,,,,,t=-6.49 p=0.00e+00 q=0.00e+00 d=0.54,,t=3.86 p=2.00e-04 q=7.00e-04 d=0.48,
cardigan vs sunscreen,t=3.46 p=7.00e-04 q=2.60e-03 d=0.18,,t=3.67 p=4.00e-04 q=1.40e-03 d=0.32,,,t=2.96 p=3.70e-03 q=1.07e-02 d=0.21,,,t=-3.42 p=8.00e-04 q=2.90e-03 d=0.47,,t=5.55 p=0.00e+00 q=0.00e+00 d=0.76,t=6.79 p=0.00e+00 q=0.00e+00 d=0.85
cardigan vs wig,,,,,,t=3.44 p=8.00e-04 q=2.80e-03 d=0.23,t=3.14 p=2.10e-03 q=6.70e-03 d=0.19,t=-3.66 p=4.00e-04 q=1.40e-03 d=0.35,,,,t=3.07 p=2.70e-03 q=8.10e-03 d=0.22
cardigan vs lipstick,,t=-4.88 p=0.00e+00 q=0.00e+00 d=0.59,t=3.69 p=3.00e-04 q=1.30e-03 d=0.46,t=-7.94 p=0.00e+00 q=0.00e+00 d=0.73,t=3.94 p=1.00e-04 q=6.00e-04 d=0.44,t=2.63 p=9.60e-03 q=2.44e-02 d=0.29,t=2.99 p=3.40e-03 q=9.90e-03 d=0.28,,,t=-2.70 p=7.90e-03 q=2.06e-02 d=0.28,t=7.06 p=0.00e+00 q=0.00e+00 d=1.12,t=-6.67 p=0.00e+00 q=0.00e+00 d=0.62
cardigan vs bra,,,t=2.35 p=2.05e-02 q=4.67e-02 d=0.16,,t=-2.53 p=1.26e-02 q=3.08e-02 d=0.25,,,t=6.28 p=0.00e+00 q=0.00e+00 d=0.39,t=3.28 p=1.40e-03 q=4.50e-03 d=0.39,t=-4.19 p=1.00e-04 q=2.00e-04 d=0.45,t=5.73 p=0.00e+00 q=0.00e+00 d=0.89,
cardigan vs windsor,,,,,,,,t=-5.99 p=0.00e+00 q=0.00e+00 d=0.60,t=-6.59 p=0.00e+00 q=0.00e+00 d=0.66,,t=3.10 p=2.40e-03 q=7.40e-03 d=0.27,t=18.96 p=0.00e+00 q=0.00e+00 d=0.96
cardigan vs desk,,,t=4.08 p=1.00e-04 q=4.00e-04 d=0.48,,,,t=2.54 p=1.22e-02 q=2.98e-02 d=0.27,,t=-6.44 p=0.00e+00 q=0.00e+00 d=0.60,,t=5.97 p=0.00e+00 q=0.00e+00 d=0.77,t=-4.02 p=1.00e-04 q=4.00e-04 d=0.67
cardigan vs library,,,t=3.59 p=5.00e-04 q=1.80e-03 d=0.37,,,,t=2.79 p=6.10e-03 q=1.65e-02 d=0.27,t=-4.47 p=0.00e+00 q=1.00e-04 d=0.35,,,t=7.29 p=0.00e+00 q=0.00e+00 d=1.07,
miniskirt vs academicgown,,,,,,,t=-5.17 p=0.00e+00 q=0.00e+00 d=0.40,t=-15.89 p=0.00e+00 q=0.00e+00 d=1.36,t=-5.89 p=0.00e+00 q=0.00e+00 d=0.68,t=3.31 p=1.20e-03 q=4.10e-03 d=0.36,,t=11.19 p=0.00e+00 q=0.00e+00 d=1.14
miniskirt vs pajamas,t=-3.94 p=1.00e-04 q=6.00e-04 d=0.13,t=-4.56 p=0.00e+00 q=1.00e-04 d=0.21,,t=-3.18 p=1.90e-03 q=5.90e-03 d=0.17,,,,t=-5.54 p=0.00e+00 q=0.00e+00 d=0.36,t=-3.90 p=2.00e-04 q=7.00e-04 d=0.37,,t=2.59 p=1.09e-02 q=2.71e-02 d=0.39,t=13.54 p=0.00e+00 q=0.00e+00 d=0.76
miniskirt vs oscilloscope,t=-2.70 p=7.90e-03 q=2.08e-02 d=0.31,t=-4.37 p=0.00e+00 q=1.00e-04 d=0.60,t=3.03 p=3.00e-03 q=8.90e-03 d=0.40,t=-7.06 p=0.00e+00 q=0.00e+00 d=0.96,t=4.48 p=0.00e+00 q=1.00e-04 d=0.59,,,t=-11.62 p=0.00e+00 q=0.00e+00 d=1.56,t=-6.67 p=0.00e+00 q=0.00e+00 d=0.90,t=2.45 p=1.55e-02 q=3.66e-02 d=0.34,t=4.57 p=0.00e+00 q=1.00e-04 d=0.62,t=7.52 p=0.00e+00 q=0.00e+00 d=0.95
miniskirt vs suit,,,,,,,t=-4.70 p=0.00e+00 q=0.00e+00 d=0.46,t=-16.10 p=0.00e+00 q=0.00e+00 d=1.45,t=-5.96 p=0.00e+00 q=0.00e+00 d=0.67,t=5.97 p=0.00e+00 q=0.00e+00 d=0.73,t=4.82 p=0.00e+00 q=0.00e+00 d=0.78,t=6.39 p=0.00e+00 q=0.00e+00 d=0.80
miniskirt vs notePC,,t=-2.90 p=4.40e-03 q=1.25e-02 d=0.11,t=3.36 p=1.00e-03 q=3.60e-03 d=0.27,t=-2.43 p=1.67e-02 q=3.90e-02 d=0.09,t=2.97 p=3.60e-03 q=1.05e-02 d=0.19,,t=-2.40 p=1.80e-02 q=4.17e-02 d=0.15,t=-11.19 p=0.00e+00 q=0.00e+00 d=0.84,t=-7.27 p=0.00e+00 q=0.00e+00 d=0.82,t=6.40 p=0.00e+00 q=0.00e+00 d=0.56,t=2.71 p=7.70e-03 q=2.03e-02 d=0.38,t=7.30 p=0.00e+00 q=0.00e+00 d=0.81
