True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat vs desk,,,,,,,,t=5.84 p=0.00e+00 q=0.00e+00 d=0.47,t=3.42 p=8.00e-04 q=2.80e-03 d=0.31,t=-2.59 p=1.07e-02 q=2.66e-02 d=0.24,t=-7.08 p=0.00e+00 q=0.00e+00 d=0.80,t=-8.97 p=0.00e+00 q=0.00e+00 d=0.88
labcoat vs library,,,,,t=-2.69 p=7.90e-03 q=2.07e-02 d=0.24,,,t=6.37 p=0.00e+00 q=0.00e+00 d=0.43,t=8.91 p=0.00e+00 q=0.00e+00 d=0.61,t=-3.16 p=1.90e-03 q=6.10e-03 d=0.33,,t=2.60 p=1.03e-02 q=2.58e-02 d=0.26
stethoscope vs jeans,,,,t=-4.47 p=0.00e+00 q=1.00e-04 d=0.31,,t=2.49 p=1.37e-02 q=3.30e-02 d=0.27,t=7.43 p=0.00e+00 q=0.00e+00 d=0.69,t=8.85 p=0.00e+00 q=0.00e+00 d=0.83,,t=-3.83 p=2.00e-04 q=8.00e-04 d=0.35,,
stethoscope vs cardigan,,t=2.51 p=1.31e-02 q=3.18e-02 d=0.13,,t=-2.49 p=1.40e-02 q=3.35e-02 d=0.17,,t=2.52 p=1.29e-02 q=3.13e-02 d=0.22,t=7.96 p=0.00e+00 q=0.00e+00 d=0.73,t=6.49 p=0.00e+00 q=0.00e+00 d=0.61,t=3.06 p=2.60e-03 q=8.00e-03 d=0.35,t=-2.73 p=7.00e-03 q=1.87e-02 d=0.21,t=-7.87 p=0.00e+00 q=0.00e+00 d=0.81,
stethoscope vs miniskirt,,,,t=-5.82 p=0.00e+00 q=0.00e+00 d=0.42,,,t=4.21 p=0.00e+00 q=2.00e-04 d=0.43,t=14.39 p=0.00e+00 q=0.00e+00 d=1.66,t=7.04 p=0.00e+00 q=0.00e+00 d=0.88,t=-8.21 p=0.00e+00 q=0.00e+00 d=0.73,t=-7.67 p=0.00e+00 q=0.00e+00 d=0.85,t=-7.17 p=0.00e+00 q=0.00e+00 d=0.73
stethoscope vs academicgown,,,,t=-6.69 p=0.00e+00 q=0.00e+00 d=0.64,,,,,,t=-4.28 p=0.00e+00 q=2.00e-04 d=0.44,t=-10.49 p=0.00e+00 q=0.00e+00 d=1.43,t=5.81 p=0.00e+00 q=0.00e+00 d=0.67
stethoscope vs pajamas,,,,t=-5.28 p=0.00e+00 q=0.00e+00 d=0.40,,,t=4.55 p=0.00e+00 q=1.00e-04 d=0.48,t=7.37 p=0.00e+00 q=0.00e+00 d=0.70,t=2.77 p=6.20e-03 q=1.69e-02 d=0.25,,t=-9.89 p=0.00e+00 q=0.00e+00 d=1.15,
stethoscope vs oscilloscope,,t=4.66 p=0.00e+00 q=0.00e+00 d=0.17,,t=-2.48 p=1.44e-02 q=3.43e-02 d=0.09,,t=2.52 p=1.27e-02 q=3.10e-02 d=0.17,t=4.33 p=0.00e+00 q=1.00e-04 d=0.47,t=-6.00 p=0.00e+00 q=0.00e+00 d=0.55,t=-2.61 p=9.80e-03 q=2.49e-02 d=0.26,,,t=7.13 p=0.00e+00 q=0.00e+00 d=0.33
stethoscope vs suit,,t=2.56 p=1.16e-02 q=2.87e-02 d=0.13,,,,t=3.12 p=2.20e-03 q=6.80e-03 d=0.20,t=6.25 p=0.00e+00 q=0.00e+00 d=0.49,,,,,
stethoscope vs notePC,,,,t=-2.39 p=1.83e-02 q=4.22e-02 d=0.07,,,t=3.17 p=1.80e-03 q=5.80e-03 d=0.23,t=-2.75 p=6.70e-03 q=1.80e-02 d=0.22,,t=3.38 p=9.00e-04 q=3.20e-03 d=0.23,t=-6.04 p=0.00e+00 q=0.00e+00 d=0.63,
stethoscope vs sunscreen,,t=2.46 p=1.51e-02 q=3.58e-02 d=0.11,,t=-2.98 p=3.40e-03 q=9.90e-03 d=0.13,,,t=3.44 p=8.00e-04 q=2.70e-03 d=0.31,,,,,t=12.30 p=0.00e+00 q=0.00e+00 d=0.67
stethoscope vs wig,,,,t=-5.72 p=0.00e+00 q=0.00e+00 d=0.55,,t=2.36 p=1.94e-02 q=4.44e-02 d=0.21,t=3.64 p=4.00e-04 q=1.40e-03 d=0.30,t=5.28 p=0.00e+00 q=0.00e+00 d=0.57,t=3.41 p=8.00e-04 q=2.90e-03 d=0.34,,t=-5.23 p=0.00e+00 q=0.00e+00 d=0.62,
stethoscope vs lipstick,,t=-3.26 p=1.40e-03 q=4.60e-03 d=0.41,,t=-10.17 p=0.00e+00 q=0.00e+00 d=1.35,,t=2.47 p=1.48e-02 q=3.51e-02 d=0.26,,t=8.46 p=0.00e+00 q=0.00e+00 d=0.81,t=4.92 p=0.00e+00 q=0.00e+00 d=0.51,t=-2.75 p=6.70e-03 q=1.79e-02 d=0.24,,t=-7.57 p=0.00e+00 q=0.00e+00 d=0.91
stethoscope vs bra,,t=-2.96 p=3.60e-03 q=1.04e-02 d=0.26,,t=-6.51 p=0.00e+00 q=0.00e+00 d=0.60,,,,t=10.05 p=0.00e+00 q=0.00e+00 d=0.96,t=4.41 p=0.00e+00 q=1.00e-04 d=0.52,t=-7.62 p=0.00e+00 q=0.00e+00 d=0.77,,
stethoscope vs windsor,,,,t=-2.62 p=9.60e-03 q=2.45e-02 d=0.15,,t=3.75 p=3.00e-04 q=1.00e-03 d=0.25,t=5.35 p=0.00e+00 q=0.00e+00 d=0.45,t=-2.72 p=7.20e-03 q=1.91e-02 d=0.22,t=-3.80 p=2.00e-04 q=9.00e-04 d=0.34,,t=-12.52 p=0.00e+00 q=0.00e+00 d=1.10,t=5.57 p=0.00e+00 q=0.00e+00 d=0.78
stethoscope vs desk,,t=3.94 p=1.00e-04 q=5.00e-04 d=0.18,,t=-3.09 p=2.40e-03 q=7.40e-03 d=0.12,,,,,,t=-2.71 p=7.60e-03 q=2.00e-02 d=0.24,t=-4.59 p=0.00e+00 q=1.00e-04 d=0.49,t=-8.41 p=0.00e+00 q=0.00e+00 d=0.92
stethoscope vs library,,t=4.34 p=0.00e+00 q=1.00e-04 d=0.17,,t=-2.60 p=1.03e-02 q=2.58e-02 d=0.13,t=-2.39 p=1.82e-02 q=4.21e-02 d=0.26,t=3.90 p=1.00e-04 q=6.00e-04 d=0.26,t=3.13 p=2.10e-03 q=6.60e-03 d=0.33,,t=5.71 p=0.00e+00 q=0.00e+00 d=0.48,t=-2.95 p=3.70e-03 q=1.07e-02 d=0.29,t=3.82 p=2.00e-04 q=8.00e-04 d=0.45,
jeans vs cardigan,t=2.59 p=1.07e-02 q=2.67e-02 d=0.10,,,,,,,,t=3.36 p=1.00e-03 q=3.40e-03 d=0.22,,t=-5.95 p=0.00e+00 q=0.00e+00 d=0.71,t=-5.16 p=0.00e+00 q=0.00e+00 d=0.31
jeans vs miniskirt,t=2.34 p=2.04e-02 q=4.65e-02 d=0.14,,,,,t=-5.17 p=0.00e+00 q=0.00e+00 d=0.55,t=-3.29 p=1.20e-03 q=4.20e-03 d=0.33,t=12.36 p=0.00e+00 q=0.00e+00 d=1.25,t=9.03 p=0.00e+00 q=0.00e+00 d=0.82,t=-5.93 p=0.00e+00 q=0.00e+00 d=0.59,t=-5.05 p=0.00e+00 q=0.00e+00 d=0.74,t=-6.80 p=0.00e+00 q=0.00e+00 d=0.77
jeans vs academicgown,,,,t=-3.32 p=1.10e-03 q=3.80e-03 d=0.37,,,t=-5.13 p=0.00e+00 q=0.00e+00 d=0.63,t=-9.06 p=0.00e+00 q=0.00e+00 d=1.08,,,t=-9.65 p=0.00e+00 q=0.00e+00 d=0.91,t=2.57 p=1.12e-02 q=2.78e-02 d=0.35
jeans vs pajamas,,,,,,t=-3.19 p=1.70e-03 q=5.60e-03 d=0.34,t=-2.62 p=9.80e-03 q=2.48e-02 d=0.29,,,,t=-7.28 p=0.00e+00 q=0.00e+00 d=0.70,
jeans vs oscilloscope,,,,t=3.01 p=3.10e-03 q=9.20e-03 d=0.21,,,t=-2.58 p=1.09e-02 q=2.71e-02 d=0.23,t=-14.66 p=0.00e+00 q=0.00e+00 d=1.64,t=-3.67 p=3.00e-04 q=1.30e-03 d=0.40,t=4.23 p=0.00e+00 q=2.00e-04 d=0.46,,
jeans vs suit,t=2.47 p=1.47e-02 q=3.51e-02 d=0.14,,,t=2.94 p=3.80e-03 q=1.11e-02 d=0.18,,,t=-3.22 p=1.60e-03 q=5.10e-03 d=0.20,t=-12.19 p=0.00e+00 q=0.00e+00 d=1.18,t=-2.94 p=3.90e-03 q=1.11e-02 d=0.27,t=4.33 p=0.00e+00 q=1.00e-04 d=0.48,,
jeans vs notePC,,,t=2.39 p=1.83e-02 q=4.22e-02 d=0.18,t=3.40 p=9.00e-04 q=3.00e-03 d=0.23,,,t=-5.93 p=0.00e+00 q=0.00e+00 d=0.46,t=-12.32 p=0.00e+00 q=0.00e+00 d=1.09,,t=5.66 p=0.00e+00 q=0.00e+00 d=0.58,t=-4.71 p=0.00e+00 q=0.00e+00 d=0.52,
jeans vs sunscreen,,,,t=3.45 p=7.00e-04 q=2.60e-03 d=0.18,,,t=-4.30 p=0.00e+00 q=2.00e-04 d=0.38,t=-12.21 p=0.00e+00 q=0.00e+00 d=1.15,,,,t=2.32 p=2.15e-02 q=4.86e-02 d=0.32
jeans vs wig,,,,t=-3.67 p=3.00e-04 q=1.30e-03 d=0.25,,,t=-3.69 p=3.00e-04 q=1.20e-03 d=0.37,t=-3.32 p=1.10e-03 q=3.80e-03 d=0.38,t=2.60 p=1.02e-02 q=2.57e-02 d=0.22,t=3.09 p=2.40e-03 q=7.30e-03 d=0.28,t=-4.50 p=0.00e+00 q=1.00e-04 d=0.59,
jeans vs lipstick,,t=-3.77 p=2.00e-04 q=1.00e-03 d=0.51,t=3.06 p=2.60e-03 q=7.90e-03 d=0.37,t=-7.98 p=0.00e+00 q=0.00e+00 d=1.02,,,t=-6.27 p=0.00e+00 q=0.00e+00 d=0.61,,t=3.22 p=1.60e-03 q=5.00e-03 d=0.41,,,t=-8.48 p=0.00e+00 q=0.00e+00 d=0.80
jeans vs bra,,t=-3.64 p=4.00e-04 q=1.40e-03 d=0.35,t=2.44 p=1.58e-02 q=3.73e-02 d=0.23,t=-3.19 p=1.70e-03 q=5.60e-03 d=0.30,,t=-4.04 p=1.00e-04 q=4.00e-04 d=0.43,t=-6.78 p=0.00e+00 q=0.00e+00 d=0.71,t=3.78 p=2.00e-04 q=9.00e-04 d=0.38,t=4.56 p=0.00e+00 q=1.00e-04 d=0.43,t=-8.34 p=0.00e+00 q=0.00e+00 d=0.76,,t=-5.17 p=0.00e+00 q=0.00e+00 d=0.40
jeans vs windsor,,,,t=2.40 p=1.78e-02 q=4.13e-02 d=0.14,,,t=-3.05 p=2.70e-03 q=8.30e-03 d=0.24,t=-14.19 p=0.00e+00 q=0.00e+00 d=1.24,t=-4.50 p=0.00e+00 q=1.00e-04 d=0.44,,t=-6.50 p=0.00e+00 q=0.00e+00 d=0.78,t=6.48 p=0.00e+00 q=0.00e+00 d=0.39
jeans vs desk,,,,t=2.58 p=1.09e-02 q=2.71e-02 d=0.17,t=-2.38 p=1.85e-02 q=4.28e-02 d=0.22,t=-3.44 p=8.00e-04 q=2.70e-03 d=0.39,t=-4.61 p=0.00e+00 q=0.00e+00 d=0.52,t=-7.49 p=0.00e+00 q=0.00e+00 d=0.81,,,t=-2.83 p=5.20e-03 q=1.45e-02 d=0.39,t=-5.89 p=0.00e+00 q=0.00e+00 d=0.84
jeans vs library,,,,,t=-3.62 p=4.00e-04 q=1.50e-03 d=0.36,,t=-3.47 p=7.00e-04 q=2.40e-03 d=0.37,t=-6.58 p=0.00e+00 q=0.00e+00 d=0.69,t=3.34 p=1.10e-03 q=3.60e-03 d=0.37,,t=2.65 p=8.80e-03 q=2.26e-02 d=0.29,
cardigan vs miniskirt,,,,t=-5.43 p=0.00e+00 q=0.00e+00 d=0.23,,t=-5.03 p=0.00e+00 q=0.00e+00 d=0.49,t=-3.20 p=1.70e-03 q=5.50e-03 d=0.32,t=12.62 p=0.00e+00 q=0.00e+00 d=1.24,t=7.07 p=0.00e+00 q=0.00e+00 d=0.73,t=-6.24 p=0.00e+00 q=0.00e+00 d=0.52,,t=-5.94 p=0.00e+00 q=0.00e+00 d=0.60
cardigan vs academicgown,,,,t=-4.48 p=0.00e+00 q=1.00e-04 d=0.47,,,t=-6.07 p=0.00e+00 q=0.00e+00 d=0.66,t=-6.01 p=0.00e+00 q=0.00e+00 d=0.77,t=-3.23 p=1.50e-03 q=4.90e-03 d=0.32,,,t=5.88 p=0.00e+00 q=0.00e+00 d=0.84
cardigan vs pajamas,,t=-3.08 p=2.50e-03 q=7.60e-03 d=0.21,t=2.91 p=4.20e-03 q=1.20e-02 d=0.20,t=-2.49 p=1.37e-02 q=3.30e-02 d=0.21,,t=-3.19 p=1.80e-03 q=5.60e-03 d=0.29,t=-3.11 p=2.30e-03 q=7.00e-03 d=0.28,t=2.33 p=2.10e-02 q=4.76e-02 d=0.17,,,t=2.61 p=1.01e-02 q=2.55e-02 d=0.30,t=4.04 p=1.00e-04 q=4.00e-04 d=0.30
cardigan vs oscilloscope,,,t=2.51 p=1.32e-02 q=3.18e-02 d=0.18,,,,,t=-10.95 p=0.00e+00 q=0.00e+00 d=1.27,t=-6.14 p=0.00e+00 q=0.00e+00 d=0.61,,t=5.28 p=0.00e+00 q=0.00e+00 d=0.66,t=4.03 p=1.00e-04 q=4.00e-04 d=0.54
cardigan vs suit,,,,,,,,t=-8.47 p=0.00e+00 q=0.00e+00 d=0.87,t=-4.17 p=1.00e-04 q=2.00e-04 d=0.39,t=3.80 p=2.00e-04 q=9.00e-04 d=0.32,t=4.37 p=0.00e+00 q=1.00e-04 d=0.60,
cardigan vs notePC,,,t=3.13 p=2.10e-03 q=6.50e-03 d=0.23,,,,t=-5.08 p=0.00e+00 q=0.00e+00 d=0.47,t=-9.04 p=0.00e+00 q=0.00e+00 d=0.84,,t=4.54 p=0.00e+00 q=1.00e-04 d=0.43,t=2.61 p=1.00e-02 q=2.53e-02 d=0.28,
cardigan vs sunscreen,,,,,,,t=-4.04 p=1.00e-04 q=4.00e-04 d=0.38,t=-8.98 p=0.00e+00 q=0.00e+00 d=0.83,,,t=4.86 p=0.00e+00 q=0.00e+00 d=0.61,t=7.45 p=0.00e+00 q=0.00e+00 d=0.85
cardigan vs wig,,,,t=-3.98 p=1.00e-04 q=5.00e-04 d=0.37,,,t=-3.89 p=1.00e-04 q=6.00e-04 d=0.37,,,,,t=3.36 p=1.00e-03 q=3.40e-03 d=0.22
cardigan vs lipstick,,t=-3.91 p=1.00e-04 q=6.00e-04 d=0.53,t=3.30 p=1.20e-03 q=4.00e-03 d=0.42,t=-8.06 p=0.00e+00 q=0.00e+00 d=1.12,,,t=-6.19 p=0.00e+00 q=0.00e+00 d=0.63,t=2.58 p=1.09e-02 q=2.70e-02 d=0.26,,,t=6.01 p=0.00e+00 q=0.00e+00 d=0.84,t=-7.31 p=0.00e+00 q=0.00e+00 d=0.62
cardigan vs bra,t=-2.39 p=1.82e-02 q=4.22e-02 d=0.19,t=-3.83 p=2.00e-04 q=8.00e-04 d=0.38,t=2.59 p=1.04e-02 q=2.61e-02 d=0.28,t=-4.06 p=1.00e-04 q=4.00e-04 d=0.41,,t=-3.47 p=7.00e-04 q=2.40e-03 d=0.38,t=-7.26 p=0.00e+00 q=0.00e+00 d=0.75,t=5.29 p=0.00e+00 q=0.00e+00 d=0.46,t=2.46 p=1.52e-02 q=3.59e-02 d=0.28,t=-4.64 p=0.00e+00 q=0.00e+00 d=0.50,t=5.59 p=0.00e+00 q=0.00e+00 d=0.76,
cardigan vs windsor,,,,,,,t=-2.58 p=1.08e-02 q=2.68e-02 d=0.22,t=-9.46 p=0.00e+00 q=0.00e+00 d=0.92,t=-5.76 p=0.00e+00 q=0.00e+00 d=0.57,,,t=20.78 p=0.00e+00 q=0.00e+00 d=0.96
cardigan vs desk,,,t=2.88 p=4.50e-03 q=1.28e-02 d=0.26,,,t=-3.13 p=2.10e-03 q=6.60e-03 d=0.34,t=-4.98 p=0.00e+00 q=0.00e+00 d=0.54,t=-4.75 p=0.00e+00 q=0.00e+00 d=0.55,,,t=3.86 p=2.00e-04 q=7.00e-04 d=0.46,t=-4.41 p=0.00e+00 q=1.00e-04 d=0.67
cardigan vs library,,,t=2.76 p=6.50e-03 q=1.74e-02 d=0.28,,,,t=-3.59 p=4.00e-04 q=1.70e-03 d=0.38,t=-4.74 p=0.00e+00 q=0.00e+00 d=0.49,,,t=7.62 p=0.00e+00 q=0.00e+00 d=0.98,
miniskirt vs academicgown,,,,t=-2.95 p=3.70e-03 q=1.08e-02 d=0.28,,t=3.00 p=3.20e-03 q=9.50e-03 d=0.31,t=-3.42 p=8.00e-04 q=2.80e-03 d=0.37,t=-15.13 p=0.00e+00 q=0.00e+00 d=1.88,t=-6.56 p=0.00e+00 q=0.00e+00 d=0.73,t=4.46 p=0.00e+00 q=1.00e-04 d=0.52,,t=12.27 p=0.00e+00 q=0.00e+00 d=1.14
miniskirt vs pajamas,,,,,,t=2.44 p=1.58e-02 q=3.72e-02 d=0.20,,t=-11.22 p=0.00e+00 q=0.00e+00 d=0.97,t=-5.84 p=0.00e+00 q=0.00e+00 d=0.55,t=6.30 p=0.00e+00 q=0.00e+00 d=0.50,t=2.38 p=1.85e-02 q=4.27e-02 d=0.31,t=14.84 p=0.00e+00 q=0.00e+00 d=0.76
miniskirt vs oscilloscope,,,,t=4.55 p=0.00e+00 q=1.00e-04 d=0.33,,t=3.73 p=3.00e-04 q=1.10e-03 d=0.41,,t=-16.18 p=0.00e+00 q=0.00e+00 d=2.28,t=-7.61 p=0.00e+00 q=0.00e+00 d=1.07,t=7.22 p=0.00e+00 q=0.00e+00 d=0.86,t=5.60 p=0.00e+00 q=0.00e+00 d=0.69,t=8.24 p=0.00e+00 q=0.00e+00 d=0.95
miniskirt vs suit,,,,t=3.40 p=9.00e-04 q=3.00e-03 d=0.29,,t=3.84 p=2.00e-04 q=8.00e-04 d=0.42,,t=-16.39 p=0.00e+00 q=0.00e+00 d=1.95,t=-6.51 p=0.00e+00 q=0.00e+00 d=0.72,t=6.66 p=0.00e+00 q=0.00e+00 d=0.81,t=4.83 p=0.00e+00 q=0.00e+00 d=0.63,t=7.00 p=0.00e+00 q=0.00e+00 d=0.80
miniskirt vs notePC,,,,t=4.82 p=0.00e+00 q=0.00e+00 d=0.35,,t=3.15 p=2.00e-03 q=6.30e-03 d=0.32,,t=-16.32 p=0.00e+00 q=0.00e+00 d=1.85,t=-5.82 p=0.00e+00 q=0.00e+00 d=0.75,t=8.36 p=0.00e+00 q=0.00e+00 d=0.89,t=2.52 p=1.27e-02 q=3.09e-02 d=0.28,t=8.00 p=0.00e+00 q=0.00e+00 d=0.81
miniskirt vs sunscreen,,,,t=3.74 p=3.00e-04 q=1.10e-03 d=0.29,,t=3.84 p=2.00e-04 q=8.00e-04 d=0.43,,t=-17.23 p=0.00e+00 q=0.00e+00 d=1.93,t=-7.56 p=0.00e+00 q=0.00e+00 d=0.79,t=6.31 p=0.00e+00 q=0.00e+00 d=0.60,t=4.88 p=0.00e+00 q=0.00e+00 d=0.64,t=10.38 p=0.00e+00 q=0.00e+00 d=1.14
miniskirt vs wig,,,,,,t=4.31 p=0.00e+00 q=1.00e-04 d=0.47,,t=-11.62 p=0.00e+00 q=0.00e+00 d=1.47,t=-7.64 p=0.00e+00 q=0.00e+00 d=0.68,t=7.51 p=0.00e+00 q=0.00e+00 d=0.75,,t=9.76 p=0.00e+00 q=0.00e+00 d=0.74
miniskirt vs lipstick,,t=-3.43 p=8.00e-04 q=2.80e-03 d=0.46,t=2.60 p=1.01e-02 q=2.56e-02 d=0.33,t=-6.59 p=0.00e+00 q=0.00e+00 d=0.92,,t=4.25 p=0.00e+00 q=2.00e-04 d=0.57,t=-4.05 p=1.00e-04 q=4.00e-04 d=0.36,t=-8.77 p=0.00e+00 q=0.00e+00 d=0.95,t=-3.26 p=1.40e-03 q=4.50e-03 d=0.41,t=4.39 p=0.00e+00 q=1.00e-04 d=0.44,t=6.48 p=0.00e+00 q=0.00e+00 d=0.88,t=3.50 p=6.00e-04 q=2.20e-03 d=0.31
miniskirt vs bra,t=-2.74 p=6.90e-03 q=1.83e-02 d=0.24,t=-3.27 p=1.40e-03 q=4.40e-03 d=0.30,,,,,t=-5.34 p=0.00e+00 q=0.00e+00 d=0.47,t=-9.75 p=0.00e+00 q=0.00e+00 d=0.71,t=-5.09 p=0.00e+00 q=0.00e+00 d=0.35,,t=5.33 p=0.00e+00 q=0.00e+00 d=0.79,t=5.50 p=0.00e+00 q=0.00e+00 d=0.40
miniskirt vs windsor,,,,t=2.92 p=4.00e-03 q=1.15e-02 d=0.25,,t=3.89 p=2.00e-04 q=6.00e-04 d=0.45,,t=-16.40 p=0.00e+00 q=0.00e+00 d=2.00,t=-7.57 p=0.00e+00 q=0.00e+00 d=0.90,t=5.10 p=0.00e+00 q=0.00e+00 d=0.67,,t=9.96 p=0.00e+00 q=0.00e+00 d=1.20
miniskirt vs desk,,t=2.33 p=2.11e-02 q=4.78e-02 d=0.17,,t=4.21 p=0.00e+00 q=2.00e-04 d=0.29,,,,t=-13.69 p=0.00e+00 q=0.00e+00 d=1.69,t=-6.32 p=0.00e+00 q=0.00e+00 d=0.83,t=4.10 p=1.00e-04 q=3.00e-04 d=0.41,t=5.49 p=0.00e+00 q=0.00e+00 d=0.47,
miniskirt vs library,,,,t=3.63 p=4.00e-04 q=1.50e-03 d=0.26,t=-2.63 p=9.40e-03 q=2.40e-02 d=0.30,t=4.72 p=0.00e+00 q=0.00e+00 d=0.49,,t=-12.96 p=0.00e+00 q=0.00e+00 d=1.55,t=-3.54 p=5.00e-04 q=2.00e-03 d=0.43,t=5.95 p=0.00e+00 q=0.00e+00 d=0.53,t=10.02 p=0.00e+00 q=0.00e+00 d=1.02,t=5.23 p=0.00e+00 q=0.00e+00 d=0.67
academicgown vs pajamas,,,,t=2.60 p=1.01e-02 q=2.56e-02 d=0.30,,,t=4.41 p=0.00e+00 q=1.00e-04 d=0.42,t=6.75 p=0.00e+00 q=0.00e+00 d=0.85,t=2.79 p=6.00e-03 q=1.65e-02 d=0.26,,t=5.10 p=0.00e+00 q=0.00e+00 d=0.36,t=-3.74 p=3.00e-04 q=1.00e-03 d=0.38
