True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
stethoscope vs jeans,,,,,,,,t=-2.44 p=1.60e-02 q=3.76e-02 d=0.21,t=3.18 p=1.90e-03 q=5.90e-03 d=0.37,t=2.36 p=1.96e-02 q=4.48e-02 d=0.35,t=2.53 p=1.26e-02 q=3.07e-02 d=0.37,t=6.66 p=0.00e+00 q=0.00e+00 d=0.65
stethoscope vs cardigan,,,,,t=-2.73 p=7.30e-03 q=1.93e-02 d=0.26,,,,t=3.80 p=2.00e-04 q=9.00e-04 d=0.31,t=3.26 p=1.40e-03 q=4.70e-03 d=0.46,t=3.35 p=1.10e-03 q=3.60e-03 d=0.47,t=11.63 p=0.00e+00 q=0.00e+00 d=1.14
stethoscope vs miniskirt,,,,t=-2.78 p=6.30e-03 q=1.71e-02 d=0.23,,,,,t=3.29 p=1.30e-03 q=4.30e-03 d=0.34,t=2.39 p=1.86e-02 q=4.28e-02 d=0.35,,t=6.37 p=0.00e+00 q=0.00e+00 d=0.51
stethoscope vs academicgown,,,,,,,,,,,t=-3.59 p=5.00e-04 q=1.80e-03 d=0.32,
stethoscope vs pajamas,,,,,,,,,,t=3.94 p=1.00e-04 q=6.00e-04 d=0.34,t=-3.80 p=2.00e-04 q=9.00e-04 d=0.31,t=-5.48 p=0.00e+00 q=0.00e+00 d=0.59
stethoscope vs oscilloscope,t=-3.96 p=1.00e-04 q=5.00e-04 d=0.47,,,t=-3.45 p=8.00e-04 q=2.70e-03 d=0.32,t=-2.90 p=4.50e-03 q=1.26e-02 d=0.29,,t=-3.48 p=7.00e-04 q=2.40e-03 d=0.30,,,,t=-2.91 p=4.20e-03 q=1.21e-02 d=0.42,t=-2.45 p=1.58e-02 q=3.72e-02 d=0.36
stethoscope vs suit,,,,,,,,t=-2.42 p=1.71e-02 q=3.98e-02 d=0.19,,,t=-3.70 p=3.00e-04 q=1.30e-03 d=0.42,
stethoscope vs notePC,,,,,,,,,t=2.35 p=2.03e-02 q=4.62e-02 d=0.17,,t=-3.55 p=5.00e-04 q=2.00e-03 d=0.47,t=-4.19 p=1.00e-04 q=2.00e-04 d=0.51
stethoscope vs sunscreen,,t=-2.77 p=6.60e-03 q=1.77e-02 d=0.12,t=-3.00 p=3.30e-03 q=9.70e-03 d=0.23,t=-3.09 p=2.40e-03 q=7.50e-03 d=0.20,,,,,,t=2.76 p=6.60e-03 q=1.78e-02 d=0.34,,t=8.45 p=0.00e+00 q=0.00e+00 d=0.91
stethoscope vs wig,,,,t=-3.11 p=2.30e-03 q=7.10e-03 d=0.25,t=-2.35 p=2.04e-02 q=4.64e-02 d=0.28,,,,,t=-2.86 p=4.90e-03 q=1.37e-02 d=0.28,t=-6.04 p=0.00e+00 q=0.00e+00 d=0.23,
stethoscope vs lipstick,t=-4.13 p=1.00e-04 q=3.00e-04 d=0.48,,,,,,,,,,,
stethoscope vs bra,,,t=-2.63 p=9.70e-03 q=2.46e-02 d=0.18,t=-2.61 p=1.02e-02 q=2.56e-02 d=0.16,,,t=-5.75 p=0.00e+00 q=0.00e+00 d=0.62,,,t=4.17 p=1.00e-04 q=3.00e-04 d=0.53,t=3.33 p=1.10e-03 q=3.80e-03 d=0.45,t=5.32 p=0.00e+00 q=0.00e+00 d=0.63
stethoscope vs windsor,,,,,,,,t=-2.38 p=1.86e-02 q=4.30e-02 d=0.20,t=2.50 p=1.37e-02 q=3.29e-02 d=0.19,,,t=-3.12 p=2.30e-03 q=7.00e-03 d=0.42
stethoscope vs desk,t=-2.47 p=1.48e-02 q=3.53e-02 d=0.15,,,t=-2.61 p=1.00e-02 q=2.54e-02 d=0.24,,,,,,,,t=-3.92 p=1.00e-04 q=6.00e-04 d=0.49
stethoscope vs library,,,,t=-5.08 p=0.00e+00 q=0.00e+00 d=0.38,,,,,t=2.62 p=1.00e-02 q=2.52e-02 d=0.26,,t=-3.43 p=8.00e-04 q=2.90e-03 d=0.49,t=-6.65 p=0.00e+00 q=0.00e+00 d=0.74
jeans vs cardigan,,,,,,t=2.37 p=1.95e-02 q=4.47e-02 d=0.19,,,,,,
jeans vs miniskirt,,,,,,,,t=2.64 p=9.40e-03 q=2.41e-02 d=0.31,,,t=-3.43 p=8.00e-04 q=2.80e-03 d=0.30,t=-2.76 p=6.70e-03 q=1.79e-02 d=0.36
jeans vs academicgown,,,,,,,,,t=-2.45 p=1.55e-02 q=3.66e-02 d=0.28,t=-3.25 p=1.50e-03 q=4.80e-03 d=0.50,t=-3.87 p=2.00e-04 q=7.00e-04 d=0.66,t=-3.57 p=5.00e-04 q=1.90e-03 d=0.52
jeans vs pajamas,,,,,,,,,t=-2.54 p=1.25e-02 q=3.05e-02 d=0.34,,t=-4.75 p=0.00e+00 q=0.00e+00 d=0.72,t=-11.94 p=0.00e+00 q=0.00e+00 d=1.17
jeans vs oscilloscope,t=-2.78 p=6.30e-03 q=1.69e-02 d=0.34,,,,,,,,t=-3.54 p=6.00e-04 q=2.10e-03 d=0.44,t=-3.35 p=1.10e-03 q=3.70e-03 d=0.45,t=-7.08 p=0.00e+00 q=0.00e+00 d=0.84,t=-7.27 p=0.00e+00 q=0.00e+00 d=1.01
jeans vs suit,t=2.32 p=2.19e-02 q=4.92e-02 d=0.15,,,,,,,,,t=-3.62 p=4.00e-04 q=1.60e-03 d=0.48,t=-5.91 p=0.00e+00 q=0.00e+00 d=0.79,t=-3.62 p=4.00e-04 q=1.60e-03 d=0.45
jeans vs notePC,,,,,,,,,,,t=-6.50 p=0.00e+00 q=0.00e+00 d=0.85,t=-7.30 p=0.00e+00 q=0.00e+00 d=0.99
jeans vs sunscreen,,,,,,,,t=2.79 p=6.00e-03 q=1.64e-02 d=0.25,,,t=-2.61 p=1.01e-02 q=2.54e-02 d=0.17,t=4.42 p=0.00e+00 q=1.00e-04 d=0.26
jeans vs wig,,,,,,,,,t=-5.22 p=0.00e+00 q=0.00e+00 d=0.61,t=-3.59 p=5.00e-04 q=1.80e-03 d=0.51,t=-3.97 p=1.00e-04 q=5.00e-04 d=0.57,t=-7.13 p=0.00e+00 q=0.00e+00 d=0.83
jeans vs lipstick,t=-3.25 p=1.50e-03 q=4.90e-03 d=0.35,,,,,,t=2.62 p=1.00e-02 q=2.53e-02 d=0.32,,t=-3.90 p=2.00e-04 q=7.00e-04 d=0.40,t=-2.98 p=3.50e-03 q=1.03e-02 d=0.39,t=-2.47 p=1.49e-02 q=3.55e-02 d=0.33,t=-5.22 p=0.00e+00 q=0.00e+00 d=0.66
jeans vs bra,,,,,,,t=-3.26 p=1.40e-03 q=4.70e-03 d=0.35,,t=-3.57 p=5.00e-04 q=1.90e-03 d=0.35,,,
jeans vs windsor,t=2.33 p=2.16e-02 q=4.86e-02 d=0.16,,,,,,,,,,t=-2.46 p=1.51e-02 q=3.59e-02 d=0.39,t=-7.49 p=0.00e+00 q=0.00e+00 d=0.94
jeans vs desk,,,,,,,t=2.85 p=5.10e-03 q=1.43e-02 d=0.33,,t=-2.37 p=1.93e-02 q=4.43e-02 d=0.30,t=-2.58 p=1.09e-02 q=2.71e-02 d=0.33,,t=-7.85 p=0.00e+00 q=0.00e+00 d=1.05
jeans vs library,,,,t=-3.06 p=2.70e-03 q=8.20e-03 d=0.30,,,t=2.84 p=5.20e-03 q=1.45e-02 d=0.38,,,t=-3.59 p=5.00e-04 q=1.80e-03 d=0.54,t=-5.86 p=0.00e+00 q=0.00e+00 d=0.88,t=-7.28 p=0.00e+00 q=0.00e+00 d=1.15
cardigan vs miniskirt,,,,,t=2.56 p=1.15e-02 q=2.85e-02 d=0.25,t=-4.25 p=0.00e+00 q=2.00e-04 d=0.36,,,,,t=-3.73 p=3.00e-04 q=1.10e-03 d=0.34,t=-7.05 p=0.00e+00 q=0.00e+00 d=0.87
cardigan vs academicgown,,,,,,,,,t=-2.37 p=1.94e-02 q=4.44e-02 d=0.23,t=-4.63 p=0.00e+00 q=1.00e-04 d=0.60,t=-6.03 p=0.00e+00 q=0.00e+00 d=0.82,t=-5.66 p=0.00e+00 q=0.00e+00 d=0.77
cardigan vs pajamas,,,,,t=2.53 p=1.27e-02 q=3.09e-02 d=0.23,t=-2.75 p=6.80e-03 q=1.83e-02 d=0.20,,,t=-3.07 p=2.60e-03 q=7.90e-03 d=0.28,,t=-8.60 p=0.00e+00 q=0.00e+00 d=1.10,t=-48.79 p=0.00e+00 q=0.00e+00 d=3.29
cardigan vs oscilloscope,t=-3.53 p=6.00e-04 q=2.20e-03 d=0.43,,,,,,,,t=-3.09 p=2.40e-03 q=7.50e-03 d=0.38,t=-4.28 p=0.00e+00 q=2.00e-04 d=0.57,t=-9.65 p=0.00e+00 q=0.00e+00 d=1.37,t=-18.32 p=0.00e+00 q=0.00e+00 d=2.85
cardigan vs suit,,,,t=2.44 p=1.61e-02 q=3.79e-02 d=0.13,,,,,,t=-5.92 p=0.00e+00 q=0.00e+00 d=0.62,t=-9.88 p=0.00e+00 q=0.00e+00 d=1.09,t=-5.57 p=0.00e+00 q=0.00e+00 d=0.66
cardigan vs notePC,,,,,t=3.43 p=8.00e-04 q=2.90e-03 d=0.34,,,,,,t=-10.03 p=0.00e+00 q=0.00e+00 d=1.21,t=-11.03 p=0.00e+00 q=0.00e+00 d=1.36
cardigan vs sunscreen,,,t=-2.76 p=6.60e-03 q=1.78e-02 d=0.27,,t=3.37 p=1.00e-03 q=3.50e-03 d=0.41,,,,,,,t=3.15 p=2.00e-03 q=6.40e-03 d=0.29
cardigan vs wig,,,,,,,,,t=-5.29 p=0.00e+00 q=0.00e+00 d=0.55,t=-4.56 p=0.00e+00 q=1.00e-04 d=0.58,t=-4.89 p=0.00e+00 q=0.00e+00 d=0.72,t=-16.25 p=0.00e+00 q=0.00e+00 d=1.73
cardigan vs lipstick,t=-4.11 p=1.00e-04 q=3.00e-04 d=0.45,,,,t=3.10 p=2.40e-03 q=7.40e-03 d=0.37,,,,t=-3.07 p=2.60e-03 q=8.00e-03 d=0.34,t=-4.42 p=0.00e+00 q=1.00e-04 d=0.50,t=-3.43 p=8.00e-04 q=2.90e-03 d=0.49,t=-14.89 p=0.00e+00 q=0.00e+00 d=1.60
cardigan vs bra,,,t=-3.32 p=1.20e-03 q=3.90e-03 d=0.23,,,t=-3.50 p=6.00e-04 q=2.30e-03 d=0.32,t=-4.30 p=0.00e+00 q=2.00e-04 d=0.46,,t=-3.10 p=2.40e-03 q=7.30e-03 d=0.29,,,t=-2.70 p=8.00e-03 q=2.08e-02 d=0.27
cardigan vs windsor,,,,,,,,,,t=-3.38 p=1.00e-03 q=3.40e-03 d=0.38,t=-3.57 p=5.00e-04 q=1.90e-03 d=0.47,t=-11.12 p=0.00e+00 q=0.00e+00 d=1.40
cardigan vs desk,,,,,,,,,,t=-3.76 p=3.00e-04 q=1.00e-03 d=0.40,t=-3.34 p=1.10e-03 q=3.80e-03 d=0.25,t=-13.08 p=0.00e+00 q=0.00e+00 d=1.87
cardigan vs library,,,,t=-2.71 p=7.70e-03 q=2.03e-02 d=0.20,,,t=2.50 p=1.36e-02 q=3.27e-02 d=0.32,,,t=-5.51 p=0.00e+00 q=0.00e+00 d=0.65,t=-12.62 p=0.00e+00 q=0.00e+00 d=1.32,t=-10.41 p=0.00e+00 q=0.00e+00 d=1.50
miniskirt vs academicgown,,,,,,t=2.33 p=2.15e-02 q=4.86e-02 d=0.27,,t=-2.53 p=1.25e-02 q=3.06e-02 d=0.25,,t=-3.41 p=9.00e-04 q=3.00e-03 d=0.49,,
miniskirt vs pajamas,,,,,,,,,t=-3.17 p=1.90e-03 q=6.00e-03 d=0.31,,,t=-12.75 p=0.00e+00 q=0.00e+00 d=1.72
miniskirt vs oscilloscope,t=-3.54 p=6.00e-04 q=2.10e-03 d=0.43,,,,,,,,t=-3.36 p=1.00e-03 q=3.50e-03 d=0.41,t=-3.34 p=1.10e-03 q=3.70e-03 d=0.45,t=-2.52 p=1.31e-02 q=3.17e-02 d=0.34,t=-8.52 p=0.00e+00 q=0.00e+00 d=1.37
miniskirt vs suit,,,,t=2.44 p=1.60e-02 q=3.76e-02 d=0.20,,t=2.42 p=1.72e-02 q=4.00e-02 d=0.28,,t=-2.74 p=7.00e-03 q=1.87e-02 d=0.30,,t=-3.57 p=5.00e-04 q=1.90e-03 d=0.47,t=-3.44 p=8.00e-04 q=2.80e-03 d=0.36,
miniskirt vs notePC,,,,,,,,,,,t=-3.59 p=5.00e-04 q=1.80e-03 d=0.39,t=-6.90 p=0.00e+00 q=0.00e+00 d=0.92
miniskirt vs sunscreen,,,t=-3.17 p=1.90e-03 q=6.10e-03 d=0.27,,,,,,,,,t=5.27 p=0.00e+00 q=0.00e+00 d=0.66
miniskirt vs wig,,,,,,,,t=-2.86 p=4.90e-03 q=1.38e-02 d=0.32,t=-4.86 p=0.00e+00 q=0.00e+00 d=0.58,t=-3.34 p=1.10e-03 q=3.70e-03 d=0.51,,t=-12.96 p=0.00e+00 q=0.00e+00 d=0.84
miniskirt vs lipstick,t=-3.76 p=3.00e-04 q=1.00e-03 d=0.44,,,,,,,,t=-2.80 p=5.90e-03 q=1.62e-02 d=0.37,t=-2.68 p=8.20e-03 q=2.14e-02 d=0.39,,t=-6.82 p=0.00e+00 q=0.00e+00 d=0.57
miniskirt vs bra,,,t=-3.69 p=3.00e-04 q=1.30e-03 d=0.22,,,,t=-4.34 p=0.00e+00 q=1.00e-04 d=0.48,t=-2.56 p=1.17e-02 q=2.89e-02 d=0.21,t=-3.06 p=2.70e-03 q=8.20e-03 d=0.32,,t=2.94 p=4.00e-03 q=1.14e-02 d=0.32,
miniskirt vs windsor,,,,,,,,t=-2.54 p=1.23e-02 q=3.01e-02 d=0.31,,,,t=-5.66 p=0.00e+00 q=0.00e+00 d=0.88
miniskirt vs desk,t=-2.80 p=6.00e-03 q=1.63e-02 d=0.11,,,,,,,,,t=-3.06 p=2.70e-03 q=8.10e-03 d=0.34,,t=-7.77 p=0.00e+00 q=0.00e+00 d=1.14
miniskirt vs library,,,,t=-2.33 p=2.16e-02 q=4.87e-02 d=0.15,,t=2.49 p=1.40e-02 q=3.36e-02 d=0.25,,,,t=-4.17 p=1.00e-04 q=3.00e-04 d=0.53,t=-3.62 p=4.00e-04 q=1.60e-03 d=0.40,t=-10.49 p=0.00e+00 q=0.00e+00 d=1.12
academicgown vs pajamas,,t=-2.35 p=2.06e-02 q=4.68e-02 d=0.12,,,,,,,,t=4.66 p=0.00e+00 q=0.00e+00 d=0.50,,t=-3.81 p=2.00e-04 q=9.00e-04 d=0.51
academicgown vs oscilloscope,t=-4.14 p=1.00e-04 q=3.00e-04 d=0.48,,,,,,,,,,,t=-3.61 p=4.00e-04 q=1.70e-03 d=0.34
academicgown vs suit,,,,t=2.33 p=2.14e-02 q=4.84e-02 d=0.09,,,,,,,,
academicgown vs notePC,,,,,t=2.38 p=1.89e-02 q=4.35e-02 d=0.22,,,,,t=3.41 p=9.00e-04 q=3.00e-03 d=0.41,,t=-7.79 p=0.00e+00 q=0.00e+00 d=0.51
academicgown vs sunscreen,,t=-3.14 p=2.10e-03 q=6.70e-03 d=0.17,t=-2.98 p=3.50e-03 q=1.03e-02 d=0.30,,t=2.63 p=9.60e-03 q=2.44e-02 d=0.30,,,,,t=3.45 p=8.00e-04 q=2.70e-03 d=0.48,t=2.98 p=3.40e-03 q=1.00e-02 d=0.48,t=5.45 p=0.00e+00 q=0.00e+00 d=0.76
academicgown vs wig,,t=-2.65 p=9.00e-03 q=2.31e-02 d=0.13,,,,,,,t=-2.82 p=5.60e-03 q=1.53e-02 d=0.26,,,
academicgown vs lipstick,t=-4.20 p=1.00e-04 q=2.00e-04 d=0.50,,,,,,,,,,t=4.89 p=0.00e+00 q=0.00e+00 d=0.47,
academicgown vs bra,,t=-3.72 p=3.00e-04 q=1.20e-03 d=0.12,t=-3.74 p=3.00e-04 q=1.10e-03 d=0.25,,,t=-2.38 p=1.88e-02 q=4.32e-02 d=0.21,t=-4.52 p=0.00e+00 q=1.00e-04 d=0.52,,,t=6.35 p=0.00e+00 q=0.00e+00 d=0.66,t=6.02 p=0.00e+00 q=0.00e+00 d=0.81,t=3.89 p=2.00e-04 q=7.00e-04 d=0.46
academicgown vs windsor,,t=-2.56 p=1.17e-02 q=2.89e-02 d=0.05,,,,,,,,t=2.76 p=6.60e-03 q=1.78e-02 d=0.23,t=3.23 p=1.60e-03 q=5.20e-03 d=0.24,t=-11.84 p=0.00e+00 q=0.00e+00 d=0.42
academicgown vs desk,t=-2.68 p=8.30e-03 q=2.14e-02 d=0.16,,,,,,,,,,t=3.62 p=4.00e-04 q=1.60e-03 d=0.49,t=-4.57 p=0.00e+00 q=1.00e-04 d=0.47
academicgown vs library,,t=-3.06 p=2.70e-03 q=8.10e-03 d=0.14,,t=-4.08 p=1.00e-04 q=4.00e-04 d=0.25,,,t=2.87 p=4.90e-03 q=1.37e-02 d=0.24,,,,,t=-5.26 p=0.00e+00 q=0.00e+00 d=0.72
pajamas vs oscilloscope,t=-2.74 p=7.00e-03 q=1.85e-02 d=0.35,,,,t=-2.32 p=2.18e-02 q=4.91e-02 d=0.27,,,,,t=-3.57 p=5.00e-04 q=1.90e-03 d=0.45,,t=3.44 p=8.00e-04 q=2.80e-03 d=0.50
pajamas vs suit,,,,,,,,,,t=-4.12 p=1.00e-04 q=3.00e-04 d=0.49,,t=4.44 p=0.00e+00 q=1.00e-04 d=0.58
pajamas vs sunscreen,,,,,,,,,,,t=3.97 p=1.00e-04 q=5.00e-04 d=0.50,t=12.21 p=0.00e+00 q=0.00e+00 d=1.40
pajamas vs wig,,,,,t=-2.36 p=1.99e-02 q=4.53e-02 d=0.25,,,,,t=-4.30 p=0.00e+00 q=2.00e-04 d=0.51,,t=4.32 p=0.00e+00 q=2.00e-04 d=0.55
pajamas vs lipstick,t=-3.20 p=1.70e-03 q=5.60e-03 d=0.36,,,,,,,,,t=-3.80 p=2.00e-04 q=9.00e-04 d=0.39,t=5.77 p=0.00e+00 q=0.00e+00 d=0.54,t=8.82 p=0.00e+00 q=0.00e+00 d=1.19
pajamas vs bra,,,,,,,t=-5.83 p=0.00e+00 q=0.00e+00 d=0.56,,,,t=6.77 p=0.00e+00 q=0.00e+00 d=1.08,t=10.19 p=0.00e+00 q=0.00e+00 d=1.35
pajamas vs desk,,,,,,,,,,t=-2.32 p=2.18e-02 q=4.91e-02 d=0.32,t=3.81 p=2.00e-04 q=9.00e-04 d=0.54,
pajamas vs library,,,,,,,,,t=2.38 p=1.89e-02 q=4.35e-02 d=0.23,t=-4.56 p=0.00e+00 q=1.00e-04 d=0.54,,t=-3.69 p=3.00e-04 q=1.30e-03 d=0.49
oscilloscope vs suit,t=4.06 p=1.00e-04 q=4.00e-04 d=0.48,,,t=2.69 p=8.10e-03 q=2.11e-02 d=0.28,,,t=3.03 p=2.90e-03 q=8.80e-03 d=0.23,,,,,t=3.79 p=2.00e-04 q=1.00e-03 d=0.41
oscilloscope vs notePC,t=3.03 p=3.00e-03 q=8.90e-03 d=0.37,,,,t=3.94 p=1.00e-04 q=6.00e-04 d=0.38,,t=2.62 p=9.80e-03 q=2.49e-02 d=0.21,,t=2.56 p=1.16e-02 q=2.86e-02 d=0.22,t=2.76 p=6.70e-03 q=1.79e-02 d=0.36,,t=-3.18 p=1.90e-03 q=5.90e-03 d=0.36
oscilloscope vs sunscreen,t=3.41 p=9.00e-04 q=3.10e-03 d=0.41,,,,t=3.46 p=7.00e-04 q=2.60e-03 d=0.45,,,,,t=4.05 p=1.00e-04 q=4.00e-04 d=0.43,t=5.11 p=0.00e+00 q=0.00e+00 d=0.61,t=9.07 p=0.00e+00 q=0.00e+00 d=1.26
oscilloscope vs wig,t=3.17 p=1.90e-03 q=6.10e-03 d=0.38,,,,,,,,,,,
oscilloscope vs lipstick,,,,t=2.70 p=8.00e-03 q=2.08e-02 d=0.28,t=3.68 p=3.00e-04 q=1.30e-03 d=0.41,,t=3.71 p=3.00e-04 q=1.20e-03 d=0.36,,,,t=5.32 p=0.00e+00 q=0.00e+00 d=0.72,t=5.88 p=0.00e+00 q=0.00e+00 d=0.80
oscilloscope vs bra,t=3.53 p=6.00e-04 q=2.10e-03 d=0.43,,,,,,,,,t=4.27 p=0.00e+00 q=2.00e-04 d=0.63,t=8.82 p=0.00e+00 q=0.00e+00 d=1.36,t=8.53 p=0.00e+00 q=0.00e+00 d=1.14
oscilloscope vs windsor,t=4.14 p=1.00e-04 q=3.00e-04 d=0.49,,,t=2.76 p=6.70e-03 q=1.80e-02 d=0.28,,,t=3.62 p=4.00e-04 q=1.60e-03 d=0.29,,,,,t=-2.38 p=1.91e-02 q=4.37e-02 d=0.23
oscilloscope vs desk,t=2.55 p=1.21e-02 q=2.98e-02 d=0.30,,,,,,t=4.47 p=0.00e+00 q=1.00e-04 d=0.37,,,,t=4.55 p=0.00e+00 q=1.00e-04 d=0.66,t=-2.99 p=3.40e-03 q=9.90e-03 d=0.30
oscilloscope vs library,t=3.85 p=2.00e-04 q=8.00e-04 d=0.45,,,,,,t=4.26 p=0.00e+00 q=2.00e-04 d=0.41,,t=3.40 p=9.00e-04 q=3.10e-03 d=0.32,,,t=-4.99 p=0.00e+00 q=0.00e+00 d=0.62
suit vs notePC,,,t=-2.67 p=8.60e-03 q=2.22e-02 d=0.21,,,,,,,t=3.38 p=1.00e-03 q=3.40e-03 d=0.38,,t=-19.50 p=0.00e+00 q=0.00e+00 d=0.56
suit vs sunscreen,,t=-2.55 p=1.20e-02 q=2.96e-02 d=0.14,t=-3.35 p=1.10e-03 q=3.60e-03 d=0.34,,,,,,,t=3.41 p=9.00e-04 q=3.10e-03 d=0.45,t=4.30 p=0.00e+00 q=2.00e-04 d=0.59,t=6.66 p=0.00e+00 q=0.00e+00 d=0.69
suit vs wig,,,t=-2.92 p=4.10e-03 q=1.18e-02 d=0.22,t=-2.50 p=1.36e-02 q=3.27e-02 d=0.21,,,,,t=-4.24 p=0.00e+00 q=2.00e-04 d=0.34,,,
suit vs lipstick,t=-4.20 p=1.00e-04 q=2.00e-04 d=0.49,,,,,,,,,,t=5.41 p=0.00e+00 q=0.00e+00 d=0.63,
suit vs bra,,t=-2.93 p=4.00e-03 q=1.16e-02 d=0.09,t=-4.41 p=0.00e+00 q=1.00e-04 d=0.30,,,t=-2.55 p=1.20e-02 q=2.95e-02 d=0.23,t=-4.51 p=0.00e+00 q=1.00e-04 d=0.49,,,t=7.59 p=0.00e+00 q=0.00e+00 d=0.67,t=12.43 p=0.00e+00 q=0.00e+00 d=1.07,t=4.78 p=0.00e+00 q=0.00e+00 d=0.38
suit vs windsor,,,,,,,,,,,t=4.38 p=0.00e+00 q=1.00e-04 d=0.33,t=-9.30 p=0.00e+00 q=0.00e+00 d=0.47
