True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
stethoscope vs bra,,t=4.30 p=0.00e+00 q=1.00e-04 d=0.17,,t=3.95 p=1.00e-04 q=5.00e-04 d=0.17,,,,t=5.67 p=0.00e+00 q=0.00e+00 d=0.44,t=7.50 p=0.00e+00 q=0.00e+00 d=0.56,t=8.09 p=0.00e+00 q=0.00e+00 d=0.63,t=8.60 p=0.00e+00 q=0.00e+00 d=0.84,
stethoscope vs windsor,,,t=2.92 p=4.00e-03 q=1.15e-02 d=0.29,t=2.53 p=1.23e-02 q=3.01e-02 d=0.25,,,t=2.37 p=1.88e-02 q=4.32e-02 d=0.23,t=3.15 p=1.90e-03 q=6.10e-03 d=0.27,t=3.03 p=2.80e-03 q=8.50e-03 d=0.24,t=4.16 p=0.00e+00 q=2.00e-04 d=0.38,t=5.77 p=0.00e+00 q=0.00e+00 d=0.57,
stethoscope vs desk,,,,,,,t=3.19 p=1.70e-03 q=5.40e-03 d=0.23,,t=3.04 p=2.70e-03 q=8.20e-03 d=0.26,,,t=4.80 p=0.00e+00 q=0.00e+00 d=0.39
stethoscope vs library,,,t=3.44 p=7.00e-04 q=2.60e-03 d=0.26,,,,,,t=2.46 p=1.50e-02 q=3.57e-02 d=0.21,t=-2.48 p=1.42e-02 q=3.39e-02 d=0.24,,
jeans vs cardigan,,,,,,,t=2.92 p=3.90e-03 q=1.13e-02 d=0.23,,,,,t=-5.04 p=0.00e+00 q=0.00e+00 d=0.30
jeans vs miniskirt,,t=-3.06 p=2.60e-03 q=7.90e-03 d=0.14,,,,,,,,,,t=-2.61 p=9.90e-03 q=2.50e-02 d=0.25
jeans vs academicgown,,,,,,,t=-4.00 p=1.00e-04 q=4.00e-04 d=0.37,t=-5.36 p=0.00e+00 q=0.00e+00 d=0.63,t=-5.53 p=0.00e+00 q=0.00e+00 d=0.65,t=-4.52 p=0.00e+00 q=1.00e-04 d=0.51,t=-5.57 p=0.00e+00 q=0.00e+00 d=0.78,t=-10.69 p=0.00e+00 q=0.00e+00 d=1.24
jeans vs pajamas,,,,,,,,t=-2.89 p=4.40e-03 q=1.24e-02 d=0.29,,,t=-9.19 p=0.00e+00 q=0.00e+00 d=1.05,t=-10.51 p=0.00e+00 q=0.00e+00 d=1.09
jeans vs oscilloscope,,,,,t=-3.18 p=1.70e-03 q=5.60e-03 d=0.33,,,t=-3.99 p=1.00e-04 q=4.00e-04 d=0.44,t=-3.09 p=2.30e-03 q=7.20e-03 d=0.33,t=-6.75 p=0.00e+00 q=0.00e+00 d=0.61,t=-3.76 p=2.00e-04 q=9.00e-04 d=0.47,
jeans vs suit,,,,,,,,t=-3.46 p=7.00e-04 q=2.40e-03 d=0.35,,t=-5.49 p=0.00e+00 q=0.00e+00 d=0.46,,
jeans vs notePC,,,t=-2.83 p=5.20e-03 q=1.44e-02 d=0.22,,t=-3.64 p=4.00e-04 q=1.40e-03 d=0.31,,,t=-3.63 p=4.00e-04 q=1.40e-03 d=0.36,t=-2.89 p=4.30e-03 q=1.23e-02 d=0.30,t=-3.56 p=5.00e-04 q=1.80e-03 d=0.36,t=-4.46 p=0.00e+00 q=1.00e-04 d=0.55,
jeans vs sunscreen,,,t=-2.98 p=3.30e-03 q=9.80e-03 d=0.25,,t=-4.18 p=0.00e+00 q=2.00e-04 d=0.41,,t=-2.95 p=3.60e-03 q=1.04e-02 d=0.27,,,,,t=-5.39 p=0.00e+00 q=0.00e+00 d=0.11
jeans vs wig,,,,,,,t=2.90 p=4.10e-03 q=1.19e-02 d=0.25,,,t=-4.35 p=0.00e+00 q=1.00e-04 d=0.45,t=-6.85 p=0.00e+00 q=0.00e+00 d=0.75,t=-3.71 p=3.00e-04 q=1.10e-03 d=0.33
jeans vs lipstick,,t=-2.75 p=6.60e-03 q=1.77e-02 d=0.28,,,,,,,,,,
jeans vs bra,,,,,,,,,,t=2.38 p=1.83e-02 q=4.24e-02 d=0.24,,t=-3.94 p=1.00e-04 q=5.00e-04 d=0.41
jeans vs windsor,,,,,,,,,t=-2.37 p=1.88e-02 q=4.32e-02 d=0.26,,,t=-5.36 p=0.00e+00 q=0.00e+00 d=0.65
jeans vs desk,,,,,,,,,,t=-5.97 p=0.00e+00 q=0.00e+00 d=0.54,t=-5.67 p=0.00e+00 q=0.00e+00 d=0.52,
jeans vs library,,,,,,,t=-2.84 p=5.00e-03 q=1.40e-02 d=0.31,t=-3.75 p=2.00e-04 q=1.00e-03 d=0.45,t=-2.69 p=7.90e-03 q=2.06e-02 d=0.30,t=-6.89 p=0.00e+00 q=0.00e+00 d=0.76,t=-5.79 p=0.00e+00 q=0.00e+00 d=0.77,t=-3.52 p=5.00e-04 q=2.00e-03 d=0.44
cardigan vs miniskirt,,,,,,,t=-2.77 p=6.20e-03 q=1.69e-02 d=0.19,,,,,
cardigan vs academicgown,,,,,,,t=-5.62 p=0.00e+00 q=0.00e+00 d=0.56,t=-5.84 p=0.00e+00 q=0.00e+00 d=0.63,t=-7.37 p=0.00e+00 q=0.00e+00 d=0.65,t=-5.08 p=0.00e+00 q=0.00e+00 d=0.50,t=-6.33 p=0.00e+00 q=0.00e+00 d=0.74,t=-10.96 p=0.00e+00 q=0.00e+00 d=1.42
cardigan vs pajamas,,,,,,,t=-3.21 p=1.60e-03 q=5.00e-03 d=0.22,t=-4.08 p=1.00e-04 q=3.00e-04 d=0.29,t=-3.82 p=2.00e-04 q=8.00e-04 d=0.24,,t=-9.89 p=0.00e+00 q=0.00e+00 d=1.05,t=-12.95 p=0.00e+00 q=0.00e+00 d=1.14
cardigan vs oscilloscope,,,,,t=-4.04 p=1.00e-04 q=4.00e-04 d=0.35,t=-2.60 p=1.00e-02 q=2.52e-02 d=0.22,t=-3.43 p=8.00e-04 q=2.70e-03 d=0.29,t=-4.71 p=0.00e+00 q=0.00e+00 d=0.44,t=-3.85 p=2.00e-04 q=7.00e-04 d=0.35,t=-6.23 p=0.00e+00 q=0.00e+00 d=0.58,t=-3.66 p=3.00e-04 q=1.30e-03 d=0.36,t=5.38 p=0.00e+00 q=0.00e+00 d=0.73
cardigan vs suit,,,,,,,,t=-3.82 p=2.00e-04 q=8.00e-04 d=0.36,,t=-7.09 p=0.00e+00 q=0.00e+00 d=0.45,,
cardigan vs notePC,,,t=-3.76 p=2.00e-04 q=9.00e-04 d=0.29,t=-2.47 p=1.43e-02 q=3.41e-02 d=0.17,t=-4.11 p=1.00e-04 q=3.00e-04 d=0.32,t=-2.94 p=3.70e-03 q=1.07e-02 d=0.23,t=-4.79 p=0.00e+00 q=0.00e+00 d=0.42,t=-4.27 p=0.00e+00 q=2.00e-04 d=0.36,t=-4.37 p=0.00e+00 q=1.00e-04 d=0.33,t=-4.29 p=0.00e+00 q=1.00e-04 d=0.35,t=-4.09 p=1.00e-04 q=3.00e-04 d=0.46,t=3.42 p=8.00e-04 q=2.80e-03 d=0.42
cardigan vs sunscreen,,,t=-3.96 p=1.00e-04 q=5.00e-04 d=0.31,,t=-5.24 p=0.00e+00 q=0.00e+00 d=0.42,t=-2.33 p=2.07e-02 q=4.70e-02 d=0.19,t=-5.11 p=0.00e+00 q=0.00e+00 d=0.45,,,,,t=3.65 p=4.00e-04 q=1.40e-03 d=0.17
cardigan vs wig,,,,,,,,,,t=-4.50 p=0.00e+00 q=1.00e-04 d=0.44,t=-6.67 p=0.00e+00 q=0.00e+00 d=0.70,
cardigan vs lipstick,,t=-2.68 p=8.10e-03 q=2.10e-02 d=0.26,,,t=-2.57 p=1.10e-02 q=2.72e-02 d=0.23,,t=-2.68 p=8.00e-03 q=2.09e-02 d=0.23,,,,,t=2.31 p=2.21e-02 q=4.96e-02 d=0.28
cardigan vs bra,t=-2.32 p=2.13e-02 q=4.82e-02 d=0.09,,t=-2.58 p=1.07e-02 q=2.67e-02 d=0.18,,,,t=-2.85 p=4.90e-03 q=1.37e-02 d=0.23,,,t=2.44 p=1.57e-02 q=3.70e-02 d=0.21,,t=-2.57 p=1.08e-02 q=2.69e-02 d=0.18
cardigan vs windsor,,,,,,,,,t=-3.14 p=2.00e-03 q=6.30e-03 d=0.28,,,t=-4.02 p=1.00e-04 q=4.00e-04 d=0.50
cardigan vs desk,,,t=-2.33 p=2.08e-02 q=4.71e-02 d=0.20,t=-2.49 p=1.38e-02 q=3.30e-02 d=0.21,,,,,t=-2.71 p=7.40e-03 q=1.95e-02 d=0.23,t=-6.13 p=0.00e+00 q=0.00e+00 d=0.53,t=-5.22 p=0.00e+00 q=0.00e+00 d=0.43,
cardigan vs library,,,,,,,t=-4.59 p=0.00e+00 q=0.00e+00 d=0.51,t=-4.43 p=0.00e+00 q=1.00e-04 d=0.46,t=-3.79 p=2.00e-04 q=9.00e-04 d=0.32,t=-6.95 p=0.00e+00 q=0.00e+00 d=0.73,t=-7.80 p=0.00e+00 q=0.00e+00 d=0.71,
miniskirt vs academicgown,,,,,,,t=-4.37 p=0.00e+00 q=1.00e-04 d=0.42,t=-4.45 p=0.00e+00 q=1.00e-04 d=0.49,t=-6.60 p=0.00e+00 q=0.00e+00 d=0.66,t=-4.78 p=0.00e+00 q=0.00e+00 d=0.51,t=-6.27 p=0.00e+00 q=0.00e+00 d=0.70,t=-10.97 p=0.00e+00 q=0.00e+00 d=1.52
miniskirt vs pajamas,,,,,,t=2.41 p=1.68e-02 q=3.93e-02 d=0.18,,t=-2.52 p=1.27e-02 q=3.08e-02 d=0.18,t=-4.16 p=0.00e+00 q=2.00e-04 d=0.30,t=-2.47 p=1.44e-02 q=3.44e-02 d=0.20,t=-8.59 p=0.00e+00 q=0.00e+00 d=0.97,t=-17.44 p=0.00e+00 q=0.00e+00 d=1.22
miniskirt vs oscilloscope,,,,,t=-2.62 p=9.50e-03 q=2.42e-02 d=0.28,,,t=-2.84 p=5.00e-03 q=1.41e-02 d=0.30,t=-3.87 p=1.00e-04 q=6.00e-04 d=0.40,t=-5.75 p=0.00e+00 q=0.00e+00 d=0.58,t=-3.07 p=2.50e-03 q=7.70e-03 d=0.40,t=4.92 p=0.00e+00 q=0.00e+00 d=0.65
miniskirt vs suit,,,,,,,,t=-2.41 p=1.72e-02 q=4.00e-02 d=0.22,t=-3.02 p=2.90e-03 q=8.70e-03 d=0.25,t=-5.94 p=0.00e+00 q=0.00e+00 d=0.46,,
miniskirt vs notePC,,,,,t=-3.24 p=1.40e-03 q=4.70e-03 d=0.26,,t=-2.82 p=5.40e-03 q=1.50e-02 d=0.26,t=-2.76 p=6.30e-03 q=1.71e-02 d=0.22,t=-4.46 p=0.00e+00 q=1.00e-04 d=0.38,t=-4.03 p=1.00e-04 q=4.00e-04 d=0.38,t=-5.27 p=0.00e+00 q=0.00e+00 d=0.48,t=3.45 p=7.00e-04 q=2.50e-03 d=0.38
miniskirt vs sunscreen,,,t=-2.45 p=1.54e-02 q=3.63e-02 d=0.21,,t=-4.12 p=1.00e-04 q=3.00e-04 d=0.36,,t=-3.56 p=5.00e-04 q=1.80e-03 d=0.31,,,,,
miniskirt vs wig,,,,,,,t=2.51 p=1.30e-02 q=3.15e-02 d=0.21,,t=-2.72 p=7.10e-03 q=1.89e-02 d=0.26,t=-4.24 p=0.00e+00 q=2.00e-04 d=0.46,t=-5.04 p=0.00e+00 q=0.00e+00 d=0.69,
miniskirt vs lipstick,,,,,,,,,t=-2.71 p=7.40e-03 q=1.94e-02 d=0.26,,,
miniskirt vs bra,,,,,,,,t=3.19 p=1.70e-03 q=5.40e-03 d=0.23,,,,t=-4.04 p=1.00e-04 q=4.00e-04 d=0.24
miniskirt vs windsor,,,,,,,,,t=-3.44 p=7.00e-04 q=2.60e-03 d=0.34,,,t=-4.60 p=0.00e+00 q=0.00e+00 d=0.58
miniskirt vs desk,,,,,,,,,t=-3.38 p=9.00e-04 q=3.10e-03 d=0.29,t=-5.97 p=0.00e+00 q=0.00e+00 d=0.54,t=-5.14 p=0.00e+00 q=0.00e+00 d=0.47,
miniskirt vs library,,,,,,,t=-3.39 p=8.00e-04 q=3.00e-03 d=0.36,t=-3.24 p=1.40e-03 q=4.70e-03 d=0.33,t=-4.03 p=1.00e-04 q=4.00e-04 d=0.38,t=-6.55 p=0.00e+00 q=0.00e+00 d=0.72,t=-6.65 p=0.00e+00 q=0.00e+00 d=0.69,t=-3.32 p=1.10e-03 q=3.70e-03 d=0.29
academicgown vs pajamas,,,,,,t=2.46 p=1.48e-02 q=3.51e-02 d=0.19,t=3.50 p=6.00e-04 q=2.20e-03 d=0.33,t=2.45 p=1.53e-02 q=3.62e-02 d=0.26,t=3.06 p=2.50e-03 q=7.70e-03 d=0.26,t=3.14 p=2.00e-03 q=6.20e-03 d=0.31,t=-3.42 p=8.00e-04 q=2.70e-03 d=0.33,
academicgown vs oscilloscope,,,,t=-2.70 p=7.60e-03 q=1.99e-02 d=0.29,t=-3.44 p=7.00e-04 q=2.60e-03 d=0.35,,t=3.20 p=1.60e-03 q=5.30e-03 d=0.33,t=2.57 p=1.10e-02 q=2.73e-02 d=0.27,t=4.01 p=1.00e-04 q=4.00e-04 d=0.36,,t=4.55 p=0.00e+00 q=1.00e-04 d=0.38,t=79.34 p=0.00e+00 q=0.00e+00 d=2.44
academicgown vs suit,,,,,,,t=5.33 p=0.00e+00 q=0.00e+00 d=0.46,t=3.98 p=1.00e-04 q=4.00e-04 d=0.33,t=6.68 p=0.00e+00 q=0.00e+00 d=0.50,,t=7.92 p=0.00e+00 q=0.00e+00 d=0.64,t=16.52 p=0.00e+00 q=0.00e+00 d=1.17
academicgown vs notePC,,,t=-4.08 p=1.00e-04 q=3.00e-04 d=0.37,t=-2.56 p=1.13e-02 q=2.80e-02 d=0.24,t=-4.09 p=1.00e-04 q=3.00e-04 d=0.33,,,t=3.56 p=5.00e-04 q=1.80e-03 d=0.35,t=4.89 p=0.00e+00 q=0.00e+00 d=0.39,,t=2.53 p=1.24e-02 q=3.04e-02 d=0.23,t=16.19 p=0.00e+00 q=0.00e+00 d=1.32
academicgown vs sunscreen,,,t=-4.00 p=1.00e-04 q=4.00e-04 d=0.38,,t=-5.27 p=0.00e+00 q=0.00e+00 d=0.42,,,t=6.17 p=0.00e+00 q=0.00e+00 d=0.67,t=6.00 p=0.00e+00 q=0.00e+00 d=0.61,t=3.28 p=1.30e-03 q=4.20e-03 d=0.38,t=5.21 p=0.00e+00 q=0.00e+00 d=0.70,t=9.28 p=0.00e+00 q=0.00e+00 d=1.13
academicgown vs wig,,,,,,,t=6.09 p=0.00e+00 q=0.00e+00 d=0.63,t=5.27 p=0.00e+00 q=0.00e+00 d=0.49,t=5.04 p=0.00e+00 q=0.00e+00 d=0.45,,,t=11.60 p=0.00e+00 q=0.00e+00 d=1.19
academicgown vs lipstick,,,t=-2.98 p=3.20e-03 q=9.60e-03 d=0.29,t=-2.31 p=2.18e-02 q=4.91e-02 d=0.21,t=-3.06 p=2.50e-03 q=7.80e-03 d=0.23,,t=3.45 p=7.00e-04 q=2.50e-03 d=0.36,t=5.68 p=0.00e+00 q=0.00e+00 d=0.61,t=4.47 p=0.00e+00 q=1.00e-04 d=0.43,t=4.32 p=0.00e+00 q=1.00e-04 d=0.45,t=8.77 p=0.00e+00 q=0.00e+00 d=0.64,t=26.39 p=0.00e+00 q=0.00e+00 d=1.89
academicgown vs bra,,,t=-3.41 p=8.00e-04 q=2.80e-03 d=0.26,,,,t=3.91 p=1.00e-04 q=6.00e-04 d=0.32,t=6.91 p=0.00e+00 q=0.00e+00 d=0.72,t=8.01 p=0.00e+00 q=0.00e+00 d=0.71,t=6.96 p=0.00e+00 q=0.00e+00 d=0.68,t=8.33 p=0.00e+00 q=0.00e+00 d=0.81,t=7.74 p=0.00e+00 q=0.00e+00 d=0.92
academicgown vs windsor,,,,,,,t=5.34 p=0.00e+00 q=0.00e+00 d=0.47,t=7.14 p=0.00e+00 q=0.00e+00 d=0.61,t=4.86 p=0.00e+00 q=0.00e+00 d=0.38,t=5.52 p=0.00e+00 q=0.00e+00 d=0.41,t=9.85 p=0.00e+00 q=0.00e+00 d=0.51,t=19.20 p=0.00e+00 q=0.00e+00 d=0.80
academicgown vs desk,,,t=-3.11 p=2.20e-03 q=6.80e-03 d=0.28,t=-3.14 p=2.00e-03 q=6.20e-03 d=0.31,,,t=4.60 p=0.00e+00 q=0.00e+00 d=0.45,t=4.65 p=0.00e+00 q=0.00e+00 d=0.48,t=4.10 p=1.00e-04 q=3.00e-04 d=0.39,,,t=19.26 p=0.00e+00 q=0.00e+00 d=1.42
academicgown vs library,,,,,,,,,t=4.13 p=1.00e-04 q=3.00e-04 d=0.35,,,t=5.31 p=0.00e+00 q=0.00e+00 d=0.61
pajamas vs oscilloscope,,,,,t=-3.79 p=2.00e-04 q=8.00e-04 d=0.34,t=-2.70 p=7.70e-03 q=2.02e-02 d=0.26,,,,t=-4.56 p=0.00e+00 q=1.00e-04 d=0.39,t=5.89 p=0.00e+00 q=0.00e+00 d=0.70,t=14.01 p=0.00e+00 q=0.00e+00 d=1.98
pajamas vs suit,,,,,,,,,,t=-3.18 p=1.70e-03 q=5.60e-03 d=0.28,t=6.87 p=0.00e+00 q=0.00e+00 d=0.88,t=7.16 p=0.00e+00 q=0.00e+00 d=1.01
