True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat vs wig,t=-3.00 p=3.10e-03 q=9.20e-03 d=0.05,t=-3.98 p=1.00e-04 q=4.00e-04 d=0.12,,,,,t=5.64 p=0.00e+00 q=0.00e+00 d=0.44,t=2.71 p=7.30e-03 q=1.94e-02 d=0.22,t=3.84 p=2.00e-04 q=7.00e-04 d=0.29,,,t=7.57 p=0.00e+00 q=0.00e+00 d=1.01
labcoat vs lipstick,,t=-2.32 p=2.12e-02 q=4.80e-02 d=0.13,,,,,,,t=3.51 p=6.00e-04 q=2.00e-03 d=0.29,t=3.50 p=6.00e-04 q=2.10e-03 d=0.27,t=7.31 p=0.00e+00 q=0.00e+00 d=0.52,t=15.12 p=0.00e+00 q=0.00e+00 d=1.43
labcoat vs bra,t=-3.71 p=3.00e-04 q=1.10e-03 d=0.03,,,,,t=2.36 p=1.95e-02 q=4.46e-02 d=0.11,t=3.04 p=2.70e-03 q=8.10e-03 d=0.17,t=4.84 p=0.00e+00 q=0.00e+00 d=0.32,t=3.82 p=2.00e-04 q=8.00e-04 d=0.26,t=6.28 p=0.00e+00 q=0.00e+00 d=0.32,t=7.69 p=0.00e+00 q=0.00e+00 d=0.57,t=6.27 p=0.00e+00 q=0.00e+00 d=0.83
labcoat vs windsor,,,,,t=3.65 p=3.00e-04 q=1.30e-03 d=0.26,,t=4.41 p=0.00e+00 q=1.00e-04 d=0.31,,t=4.00 p=1.00e-04 q=4.00e-04 d=0.25,t=3.10 p=2.20e-03 q=6.90e-03 d=0.19,t=8.27 p=0.00e+00 q=0.00e+00 d=0.43,t=5.34 p=0.00e+00 q=0.00e+00 d=0.69
labcoat vs desk,,t=2.73 p=7.00e-03 q=1.87e-02 d=0.09,,,t=4.54 p=0.00e+00 q=1.00e-04 d=0.34,t=6.34 p=0.00e+00 q=0.00e+00 d=0.41,t=8.28 p=0.00e+00 q=0.00e+00 d=0.54,t=3.74 p=2.00e-04 q=1.00e-03 d=0.26,t=4.29 p=0.00e+00 q=1.00e-04 d=0.35,,,t=9.66 p=0.00e+00 q=0.00e+00 d=1.22
labcoat vs library,,,t=2.49 p=1.36e-02 q=3.27e-02 d=0.13,,t=2.86 p=4.70e-03 q=1.33e-02 d=0.22,t=2.99 p=3.20e-03 q=9.40e-03 d=0.21,t=5.79 p=0.00e+00 q=0.00e+00 d=0.49,t=2.62 p=9.40e-03 q=2.40e-02 d=0.19,,t=-2.78 p=6.00e-03 q=1.65e-02 d=0.23,,t=7.26 p=0.00e+00 q=0.00e+00 d=0.60
stethoscope vs jeans,,,,,,,t=3.72 p=3.00e-04 q=1.00e-03 d=0.37,t=2.93 p=3.80e-03 q=1.11e-02 d=0.28,t=4.25 p=0.00e+00 q=2.00e-04 d=0.41,t=5.52 p=0.00e+00 q=0.00e+00 d=0.58,t=7.73 p=0.00e+00 q=0.00e+00 d=0.91,t=4.14 p=1.00e-04 q=2.00e-04 d=0.44
stethoscope vs cardigan,,,,t=3.48 p=6.00e-04 q=2.30e-03 d=0.21,t=3.34 p=1.00e-03 q=3.40e-03 d=0.24,,t=7.00 p=0.00e+00 q=0.00e+00 d=0.60,,t=3.73 p=3.00e-04 q=1.00e-03 d=0.29,t=3.79 p=2.00e-04 q=8.00e-04 d=0.31,t=7.26 p=0.00e+00 q=0.00e+00 d=0.79,t=2.56 p=1.12e-02 q=2.77e-02 d=0.27
stethoscope vs miniskirt,,,,,,,t=4.35 p=0.00e+00 q=1.00e-04 d=0.39,t=2.42 p=1.67e-02 q=3.90e-02 d=0.19,t=2.80 p=5.60e-03 q=1.55e-02 d=0.21,t=6.03 p=0.00e+00 q=0.00e+00 d=0.48,t=9.14 p=0.00e+00 q=0.00e+00 d=0.86,t=2.76 p=6.40e-03 q=1.73e-02 d=0.31
stethoscope vs academicgown,,,t=3.54 p=5.00e-04 q=1.90e-03 d=0.17,,,,t=4.20 p=0.00e+00 q=2.00e-04 d=0.28,t=-2.84 p=5.10e-03 q=1.42e-02 d=0.21,,,,t=-3.67 p=3.00e-04 q=1.30e-03 d=0.38
stethoscope vs pajamas,t=-2.72 p=7.20e-03 q=1.91e-02 d=0.03,,,,t=3.30 p=1.20e-03 q=3.90e-03 d=0.18,,t=3.35 p=1.00e-03 q=3.30e-03 d=0.20,,,,t=-4.84 p=0.00e+00 q=0.00e+00 d=0.31,t=-3.46 p=7.00e-04 q=2.40e-03 d=0.30
stethoscope vs oscilloscope,t=-3.13 p=2.10e-03 q=6.40e-03 d=0.26,,,,t=2.87 p=4.60e-03 q=1.29e-02 d=0.26,t=2.89 p=4.40e-03 q=1.24e-02 d=0.25,t=5.42 p=0.00e+00 q=0.00e+00 d=0.47,,t=2.89 p=4.30e-03 q=1.21e-02 d=0.26,,t=5.32 p=0.00e+00 q=0.00e+00 d=0.57,t=5.70 p=0.00e+00 q=0.00e+00 d=0.62
stethoscope vs suit,,,,,,,t=5.76 p=0.00e+00 q=0.00e+00 d=0.48,,t=5.95 p=0.00e+00 q=0.00e+00 d=0.39,,t=6.40 p=0.00e+00 q=0.00e+00 d=0.80,t=3.09 p=2.30e-03 q=7.10e-03 d=0.39
stethoscope vs notePC,,,,,,t=2.72 p=7.10e-03 q=1.88e-02 d=0.12,t=6.19 p=0.00e+00 q=0.00e+00 d=0.39,t=3.78 p=2.00e-04 q=9.00e-04 d=0.23,,,t=4.42 p=0.00e+00 q=1.00e-04 d=0.51,t=4.28 p=0.00e+00 q=2.00e-04 d=0.52
stethoscope vs sunscreen,,,,,,,,t=4.64 p=0.00e+00 q=0.00e+00 d=0.27,t=2.76 p=6.30e-03 q=1.71e-02 d=0.22,t=4.55 p=0.00e+00 q=1.00e-04 d=0.36,t=7.66 p=0.00e+00 q=0.00e+00 d=0.72,t=3.42 p=8.00e-04 q=2.70e-03 d=0.35
stethoscope vs wig,t=-3.05 p=2.60e-03 q=7.90e-03 d=0.05,t=-2.66 p=8.60e-03 q=2.22e-02 d=0.09,,,,,t=5.16 p=0.00e+00 q=0.00e+00 d=0.44,,t=2.81 p=5.60e-03 q=1.53e-02 d=0.21,,,t=3.19 p=1.70e-03 q=5.40e-03 d=0.23
stethoscope vs lipstick,,,,,,,t=2.61 p=9.90e-03 q=2.50e-02 d=0.16,,t=2.90 p=4.20e-03 q=1.19e-02 d=0.21,t=3.44 p=7.00e-04 q=2.50e-03 d=0.23,t=8.60 p=0.00e+00 q=0.00e+00 d=0.63,t=4.33 p=0.00e+00 q=1.00e-04 d=0.41
stethoscope vs bra,t=-3.16 p=1.90e-03 q=5.90e-03 d=0.03,,,,,,t=3.55 p=5.00e-04 q=1.80e-03 d=0.18,t=3.90 p=1.00e-04 q=6.00e-04 d=0.22,t=2.65 p=8.70e-03 q=2.24e-02 d=0.18,t=5.05 p=0.00e+00 q=0.00e+00 d=0.29,t=8.18 p=0.00e+00 q=0.00e+00 d=0.69,
stethoscope vs windsor,,,t=2.81 p=5.60e-03 q=1.53e-02 d=0.20,,t=2.85 p=4.80e-03 q=1.36e-02 d=0.22,,t=4.13 p=1.00e-04 q=3.00e-04 d=0.31,,t=2.84 p=5.00e-03 q=1.39e-02 d=0.16,,t=6.27 p=0.00e+00 q=0.00e+00 d=0.54,
stethoscope vs desk,,t=3.79 p=2.00e-04 q=8.00e-04 d=0.13,t=3.16 p=1.80e-03 q=5.80e-03 d=0.16,,t=3.74 p=3.00e-04 q=1.00e-03 d=0.30,t=3.61 p=4.00e-04 q=1.50e-03 d=0.26,t=8.08 p=0.00e+00 q=0.00e+00 d=0.53,,t=3.28 p=1.30e-03 q=4.20e-03 d=0.27,,,t=4.87 p=0.00e+00 q=0.00e+00 d=0.39
stethoscope vs library,,t=2.60 p=1.02e-02 q=2.57e-02 d=0.08,t=3.32 p=1.10e-03 q=3.60e-03 d=0.18,,,,t=5.68 p=0.00e+00 q=0.00e+00 d=0.49,,,t=-2.47 p=1.43e-02 q=3.42e-02 d=0.23,,
jeans vs cardigan,,,,t=4.26 p=0.00e+00 q=2.00e-04 d=0.24,,t=2.89 p=4.30e-03 q=1.21e-02 d=0.19,t=3.48 p=6.00e-04 q=2.30e-03 d=0.29,,,t=-5.04 p=0.00e+00 q=0.00e+00 d=0.35,t=-3.98 p=1.00e-04 q=4.00e-04 d=0.38,t=-5.11 p=0.00e+00 q=0.00e+00 d=0.30
jeans vs miniskirt,t=3.56 p=5.00e-04 q=1.80e-03 d=0.06,t=-2.49 p=1.38e-02 q=3.30e-02 d=0.06,,,,,,,t=-2.48 p=1.42e-02 q=3.39e-02 d=0.18,,,t=-2.64 p=8.90e-03 q=2.29e-02 d=0.25
jeans vs academicgown,,,t=2.93 p=3.90e-03 q=1.11e-02 d=0.20,,,,,t=-4.90 p=0.00e+00 q=0.00e+00 d=0.56,t=-4.04 p=1.00e-04 q=4.00e-04 d=0.49,t=-7.86 p=0.00e+00 q=0.00e+00 d=0.87,t=-6.70 p=0.00e+00 q=0.00e+00 d=0.95,t=-10.84 p=0.00e+00 q=0.00e+00 d=1.24
jeans vs pajamas,,,,,,,,,t=-4.92 p=0.00e+00 q=0.00e+00 d=0.45,t=-5.94 p=0.00e+00 q=0.00e+00 d=0.56,t=-13.19 p=0.00e+00 q=0.00e+00 d=1.39,t=-10.65 p=0.00e+00 q=0.00e+00 d=1.09
jeans vs oscilloscope,t=-2.53 p=1.23e-02 q=3.00e-02 d=0.23,,,,,t=3.82 p=2.00e-04 q=8.00e-04 d=0.42,,,,t=-5.08 p=0.00e+00 q=0.00e+00 d=0.50,t=-3.58 p=4.00e-04 q=1.70e-03 d=0.44,
jeans vs suit,,,,t=2.31 p=2.18e-02 q=4.91e-02 d=0.11,,,,,,t=-4.12 p=1.00e-04 q=3.00e-04 d=0.34,,
jeans vs notePC,,,,,,t=2.83 p=5.20e-03 q=1.45e-02 d=0.25,,,t=-4.59 p=0.00e+00 q=0.00e+00 d=0.44,t=-6.16 p=0.00e+00 q=0.00e+00 d=0.63,t=-3.99 p=1.00e-04 q=4.00e-04 d=0.52,
jeans vs sunscreen,,,,,t=-2.34 p=2.01e-02 q=4.58e-02 d=0.19,,t=-3.88 p=1.00e-04 q=6.00e-04 d=0.33,,t=-2.35 p=1.99e-02 q=4.55e-02 d=0.18,t=-2.32 p=2.13e-02 q=4.81e-02 d=0.21,t=-3.84 p=2.00e-04 q=7.00e-04 d=0.23,t=-5.47 p=0.00e+00 q=0.00e+00 d=0.11
jeans vs wig,,t=-4.90 p=0.00e+00 q=0.00e+00 d=0.20,,,,,,,t=-2.41 p=1.70e-02 q=3.96e-02 d=0.23,t=-6.75 p=0.00e+00 q=0.00e+00 d=0.60,t=-10.72 p=0.00e+00 q=0.00e+00 d=1.11,t=-3.76 p=2.00e-04 q=9.00e-04 d=0.33
jeans vs lipstick,,t=-3.54 p=5.00e-04 q=1.90e-03 d=0.21,,,,,t=-2.54 p=1.20e-02 q=2.95e-02 d=0.24,t=-2.89 p=4.30e-03 q=1.22e-02 d=0.26,t=-2.62 p=9.60e-03 q=2.43e-02 d=0.23,t=-4.78 p=0.00e+00 q=0.00e+00 d=0.42,t=-3.10 p=2.20e-03 q=6.90e-03 d=0.39,
jeans vs bra,,t=-2.61 p=9.70e-03 q=2.47e-02 d=0.10,,,,,t=-2.44 p=1.58e-02 q=3.72e-02 d=0.20,,t=-2.92 p=3.90e-03 q=1.12e-02 d=0.22,t=-3.01 p=2.90e-03 q=8.80e-03 d=0.28,t=-3.19 p=1.60e-03 q=5.30e-03 d=0.40,t=-3.99 p=1.00e-04 q=4.00e-04 d=0.41
jeans vs windsor,,,t=2.99 p=3.20e-03 q=9.50e-03 d=0.23,,,,,t=-3.04 p=2.70e-03 q=8.30e-03 d=0.32,t=-2.55 p=1.16e-02 q=2.86e-02 d=0.27,t=-4.70 p=0.00e+00 q=0.00e+00 d=0.45,t=-3.56 p=5.00e-04 q=1.80e-03 d=0.50,t=-5.44 p=0.00e+00 q=0.00e+00 d=0.65
jeans vs desk,,,t=2.66 p=8.60e-03 q=2.22e-02 d=0.19,,,t=4.59 p=0.00e+00 q=0.00e+00 d=0.44,,,,t=-6.11 p=0.00e+00 q=0.00e+00 d=0.64,t=-6.78 p=0.00e+00 q=0.00e+00 d=0.66,
jeans vs library,,,t=2.75 p=6.60e-03 q=1.78e-02 d=0.21,,,t=2.51 p=1.29e-02 q=3.13e-02 d=0.22,,,t=-3.74 p=2.00e-04 q=1.00e-03 d=0.42,t=-9.39 p=0.00e+00 q=0.00e+00 d=0.97,t=-6.72 p=0.00e+00 q=0.00e+00 d=0.90,t=-3.57 p=5.00e-04 q=1.70e-03 d=0.44
cardigan vs miniskirt,,,,t=-5.08 p=0.00e+00 q=0.00e+00 d=0.26,t=-2.84 p=5.00e-03 q=1.39e-02 d=0.15,t=-2.71 p=7.40e-03 q=1.95e-02 d=0.16,t=-4.01 p=1.00e-04 q=4.00e-04 d=0.26,,,t=4.67 p=0.00e+00 q=0.00e+00 d=0.24,t=2.99 p=3.20e-03 q=9.30e-03 d=0.29,
cardigan vs academicgown,,,,t=-2.94 p=3.80e-03 q=1.09e-02 d=0.17,t=-2.65 p=8.80e-03 q=2.25e-02 d=0.18,,t=-4.93 p=0.00e+00 q=0.00e+00 d=0.43,t=-4.90 p=0.00e+00 q=0.00e+00 d=0.48,t=-4.14 p=1.00e-04 q=3.00e-04 d=0.37,t=-6.21 p=0.00e+00 q=0.00e+00 d=0.53,t=-7.04 p=0.00e+00 q=0.00e+00 d=0.85,t=-11.11 p=0.00e+00 q=0.00e+00 d=1.42
cardigan vs pajamas,,,,t=-2.79 p=5.80e-03 q=1.59e-02 d=0.13,,,t=-6.30 p=0.00e+00 q=0.00e+00 d=0.42,,t=-5.22 p=0.00e+00 q=0.00e+00 d=0.34,t=-3.97 p=1.00e-04 q=5.00e-04 d=0.27,t=-14.03 p=0.00e+00 q=0.00e+00 d=1.41,t=-13.13 p=0.00e+00 q=0.00e+00 d=1.14
cardigan vs oscilloscope,t=-3.08 p=2.40e-03 q=7.40e-03 d=0.28,,,,,,,,,,,t=5.45 p=0.00e+00 q=0.00e+00 d=0.73
cardigan vs suit,,,,t=-2.67 p=8.30e-03 q=2.16e-02 d=0.13,,,t=-2.69 p=7.80e-03 q=2.04e-02 d=0.19,,,,t=2.67 p=8.20e-03 q=2.12e-02 d=0.28,
cardigan vs notePC,,,,t=-3.83 p=2.00e-04 q=7.00e-04 d=0.26,t=-2.55 p=1.17e-02 q=2.88e-02 d=0.21,,t=-2.82 p=5.40e-03 q=1.49e-02 d=0.25,,t=-3.28 p=1.20e-03 q=4.10e-03 d=0.29,t=-3.16 p=1.80e-03 q=5.80e-03 d=0.27,t=-2.44 p=1.57e-02 q=3.71e-02 d=0.28,t=3.47 p=7.00e-04 q=2.40e-03 d=0.42
cardigan vs sunscreen,,,,t=-3.15 p=1.90e-03 q=6.10e-03 d=0.21,t=-3.25 p=1.40e-03 q=4.50e-03 d=0.27,,t=-6.20 p=0.00e+00 q=0.00e+00 d=0.57,,,,,t=3.70 p=3.00e-04 q=1.10e-03 d=0.17
cardigan vs wig,,t=-2.70 p=7.60e-03 q=1.99e-02 d=0.12,,t=-2.59 p=1.04e-02 q=2.60e-02 d=0.14,t=-3.37 p=9.00e-04 q=3.20e-03 d=0.22,t=-2.59 p=1.04e-02 q=2.61e-02 d=0.20,t=-2.31 p=2.17e-02 q=4.89e-02 d=0.19,,,t=-3.87 p=1.00e-04 q=6.00e-04 d=0.31,t=-10.08 p=0.00e+00 q=0.00e+00 d=1.05,
cardigan vs lipstick,,,,t=-3.64 p=4.00e-04 q=1.40e-03 d=0.28,t=-2.51 p=1.28e-02 q=3.10e-02 d=0.22,,t=-5.97 p=0.00e+00 q=0.00e+00 d=0.51,,,,,t=2.34 p=2.03e-02 q=4.62e-02 d=0.28
cardigan vs bra,,,,t=-3.20 p=1.60e-03 q=5.30e-03 d=0.19,t=-3.01 p=2.90e-03 q=8.80e-03 d=0.21,,t=-5.68 p=0.00e+00 q=0.00e+00 d=0.45,,,,,t=-2.61 p=9.80e-03 q=2.48e-02 d=0.18
cardigan vs windsor,,,,,,,t=-4.76 p=0.00e+00 q=0.00e+00 d=0.40,t=-2.48 p=1.39e-02 q=3.33e-02 d=0.23,,,,t=-4.08 p=1.00e-04 q=3.00e-04 d=0.50
cardigan vs desk,,,,t=-2.82 p=5.40e-03 q=1.49e-02 d=0.24,,t=2.76 p=6.30e-03 q=1.71e-02 d=0.25,,,,t=-3.75 p=2.00e-04 q=9.00e-04 d=0.35,t=-6.10 p=0.00e+00 q=0.00e+00 d=0.48,
cardigan vs library,,,,t=-2.38 p=1.84e-02 q=4.26e-02 d=0.17,,,,,t=-3.83 p=2.00e-04 q=7.00e-04 d=0.29,t=-7.35 p=0.00e+00 q=0.00e+00 d=0.65,t=-8.14 p=0.00e+00 q=0.00e+00 d=0.78,
miniskirt vs academicgown,,,t=2.70 p=7.50e-03 q=1.97e-02 d=0.18,,,,,t=-4.53 p=0.00e+00 q=1.00e-04 d=0.44,t=-2.95 p=3.60e-03 q=1.06e-02 d=0.28,t=-8.50 p=0.00e+00 q=0.00e+00 d=0.71,t=-7.98 p=0.00e+00 q=0.00e+00 d=0.88,t=-11.13 p=0.00e+00 q=0.00e+00 d=1.52
miniskirt vs pajamas,,,,,,,t=-2.71 p=7.30e-03 q=1.94e-02 d=0.19,,t=-4.02 p=1.00e-04 q=4.00e-04 d=0.27,t=-6.15 p=0.00e+00 q=0.00e+00 d=0.46,t=-14.33 p=0.00e+00 q=0.00e+00 d=1.33,t=-17.68 p=0.00e+00 q=0.00e+00 d=1.22
miniskirt vs oscilloscope,t=-3.13 p=2.10e-03 q=6.50e-03 d=0.29,,,,,t=3.48 p=6.00e-04 q=2.30e-03 d=0.38,,,,t=-3.70 p=3.00e-04 q=1.10e-03 d=0.39,t=-2.72 p=7.10e-03 q=1.88e-02 d=0.37,t=4.99 p=0.00e+00 q=0.00e+00 d=0.65
miniskirt vs suit,,,,t=3.09 p=2.30e-03 q=7.20e-03 d=0.14,,,,,,t=-3.73 p=3.00e-04 q=1.00e-03 d=0.26,,
miniskirt vs notePC,,,,,,t=3.11 p=2.20e-03 q=6.80e-03 d=0.22,,,,t=-6.04 p=0.00e+00 q=0.00e+00 d=0.49,t=-4.54 p=0.00e+00 q=1.00e-04 d=0.45,t=3.50 p=6.00e-04 q=2.10e-03 d=0.38
miniskirt vs sunscreen,,,,,,,t=-4.02 p=1.00e-04 q=4.00e-04 d=0.35,,,,,
miniskirt vs wig,,t=-3.45 p=7.00e-04 q=2.50e-03 d=0.13,,,,,,,,t=-5.38 p=0.00e+00 q=0.00e+00 d=0.49,t=-7.86 p=0.00e+00 q=0.00e+00 d=1.05,
miniskirt vs lipstick,,t=-2.35 p=1.99e-02 q=4.53e-02 d=0.14,,,,,t=-2.87 p=4.60e-03 q=1.30e-02 d=0.26,,,t=-3.49 p=6.00e-04 q=2.20e-03 d=0.31,t=-2.48 p=1.39e-02 q=3.33e-02 d=0.32,
miniskirt vs bra,,,,,,,t=-2.98 p=3.30e-03 q=9.70e-03 d=0.21,,,t=-3.19 p=1.70e-03 q=5.40e-03 d=0.20,t=-4.48 p=0.00e+00 q=1.00e-04 d=0.32,t=-4.09 p=1.00e-04 q=3.00e-04 d=0.24
miniskirt vs windsor,,,t=2.61 p=9.90e-03 q=2.50e-02 d=0.21,t=2.66 p=8.50e-03 q=2.19e-02 d=0.18,,,,,,t=-4.67 p=0.00e+00 q=0.00e+00 d=0.35,t=-4.75 p=0.00e+00 q=0.00e+00 d=0.43,t=-4.67 p=0.00e+00 q=0.00e+00 d=0.58
miniskirt vs desk,,,t=2.36 p=1.94e-02 q=4.44e-02 d=0.17,,t=2.60 p=9.90e-03 q=2.52e-02 d=0.21,t=4.34 p=0.00e+00 q=1.00e-04 d=0.40,,,,t=-5.97 p=0.00e+00 q=0.00e+00 d=0.53,t=-6.18 p=0.00e+00 q=0.00e+00 d=0.60,
miniskirt vs library,,,t=2.52 p=1.25e-02 q=3.06e-02 d=0.19,,,,,,,t=-8.40 p=0.00e+00 q=0.00e+00 d=0.82,t=-7.73 p=0.00e+00 q=0.00e+00 d=0.84,t=-3.37 p=9.00e-04 q=3.20e-03 d=0.29
academicgown vs pajamas,,,t=-2.31 p=2.19e-02 q=4.92e-02 d=0.10,,,,,t=2.88 p=4.50e-03 q=1.27e-02 d=0.25,,,t=-4.85 p=0.00e+00 q=0.00e+00 d=0.50,
academicgown vs oscilloscope,t=-3.15 p=1.90e-03 q=6.10e-03 d=0.26,,,,,t=2.38 p=1.82e-02 q=4.22e-02 d=0.23,t=2.79 p=5.80e-03 q=1.60e-02 d=0.26,t=3.30 p=1.20e-03 q=3.90e-03 d=0.30,t=3.64 p=4.00e-04 q=1.40e-03 d=0.34,t=3.54 p=5.00e-04 q=1.90e-03 d=0.32,t=7.45 p=0.00e+00 q=0.00e+00 d=0.54,t=80.44 p=0.00e+00 q=0.00e+00 d=2.44
academicgown vs suit,,,,,,,t=4.33 p=0.00e+00 q=1.00e-04 d=0.28,t=5.51 p=0.00e+00 q=0.00e+00 d=0.38,t=8.38 p=0.00e+00 q=0.00e+00 d=0.46,t=5.12 p=0.00e+00 q=0.00e+00 d=0.36,t=10.18 p=0.00e+00 q=0.00e+00 d=0.80,t=16.75 p=0.00e+00 q=0.00e+00 d=1.17
academicgown vs notePC,,,t=-3.88 p=1.00e-04 q=6.00e-04 d=0.21,,,,t=2.31 p=2.20e-02 q=4.94e-02 d=0.16,t=6.92 p=0.00e+00 q=0.00e+00 d=0.50,,t=4.06 p=1.00e-04 q=3.00e-04 d=0.27,t=6.50 p=0.00e+00 q=0.00e+00 d=0.48,t=16.41 p=0.00e+00 q=0.00e+00 d=1.32
academicgown vs sunscreen,,,t=-3.43 p=7.00e-04 q=2.70e-03 d=0.20,,,,t=-3.02 p=2.90e-03 q=8.70e-03 d=0.24,t=5.56 p=0.00e+00 q=0.00e+00 d=0.51,t=2.79 p=5.70e-03 q=1.58e-02 d=0.29,t=5.44 p=0.00e+00 q=0.00e+00 d=0.56,t=5.45 p=0.00e+00 q=0.00e+00 d=0.73,t=9.41 p=0.00e+00 q=0.00e+00 d=1.13
academicgown vs wig,t=-2.68 p=8.00e-03 q=2.10e-02 d=0.05,t=-3.53 p=5.00e-04 q=1.90e-03 d=0.12,,,,t=-2.79 p=5.80e-03 q=1.60e-02 d=0.19,t=2.69 p=7.80e-03 q=2.04e-02 d=0.23,t=4.06 p=1.00e-04 q=3.00e-04 d=0.37,t=3.29 p=1.20e-03 q=4.00e-03 d=0.29,,,t=11.76 p=0.00e+00 q=0.00e+00 d=1.19
academicgown vs lipstick,,t=-2.33 p=2.10e-02 q=4.75e-02 d=0.13,t=-3.61 p=4.00e-04 q=1.50e-03 d=0.28,,,,,t=2.51 p=1.28e-02 q=3.11e-02 d=0.24,t=2.78 p=6.10e-03 q=1.65e-02 d=0.28,t=4.68 p=0.00e+00 q=0.00e+00 d=0.43,t=9.96 p=0.00e+00 q=0.00e+00 d=0.62,t=26.75 p=0.00e+00 q=0.00e+00 d=1.89
