True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat vs wig,,t=-2.40 p=1.73e-02 q=4.04e-02 d=0.14,t=-2.33 p=2.11e-02 q=4.77e-02 d=0.20,t=-4.32 p=0.00e+00 q=1.00e-04 d=0.26,,,,t=-2.47 p=1.44e-02 q=3.44e-02 d=0.20,t=5.62 p=0.00e+00 q=0.00e+00 d=0.58,t=-3.98 p=1.00e-04 q=4.00e-04 d=0.37,t=-5.30 p=0.00e+00 q=0.00e+00 d=0.46,t=-2.74 p=6.70e-03 q=1.80e-02 d=0.31
labcoat vs lipstick,t=-2.63 p=9.20e-03 q=2.34e-02 d=0.22,t=-4.85 p=0.00e+00 q=0.00e+00 d=0.36,t=4.02 p=1.00e-04 q=4.00e-04 d=0.39,t=-5.98 p=0.00e+00 q=0.00e+00 d=0.52,,,t=-2.76 p=6.30e-03 q=1.70e-02 d=0.26,t=-4.06 p=1.00e-04 q=3.00e-04 d=0.38,t=10.28 p=0.00e+00 q=0.00e+00 d=0.95,,t=-8.34 p=0.00e+00 q=0.00e+00 d=0.61,t=-2.43 p=1.60e-02 q=3.77e-02 d=0.25
labcoat vs bra,,,t=4.16 p=0.00e+00 q=2.00e-04 d=0.26,,t=2.55 p=1.16e-02 q=2.87e-02 d=0.17,t=4.05 p=1.00e-04 q=4.00e-04 d=0.24,t=-4.37 p=0.00e+00 q=1.00e-04 d=0.27,,t=4.68 p=0.00e+00 q=0.00e+00 d=0.50,t=-2.87 p=4.50e-03 q=1.28e-02 d=0.26,t=-6.32 p=0.00e+00 q=0.00e+00 d=0.59,t=-7.56 p=0.00e+00 q=0.00e+00 d=0.80
labcoat vs windsor,t=-4.83 p=0.00e+00 q=0.00e+00 d=0.51,t=-6.66 p=0.00e+00 q=0.00e+00 d=0.57,,t=-9.29 p=0.00e+00 q=0.00e+00 d=0.97,t=3.61 p=4.00e-04 q=1.50e-03 d=0.35,,,t=-4.52 p=0.00e+00 q=1.00e-04 d=0.34,t=-10.19 p=0.00e+00 q=0.00e+00 d=0.79,t=-3.81 p=2.00e-04 q=8.00e-04 d=0.34,t=-7.91 p=0.00e+00 q=0.00e+00 d=0.69,t=15.30 p=0.00e+00 q=0.00e+00 d=0.71
labcoat vs desk,t=-2.65 p=8.70e-03 q=2.24e-02 d=0.07,,,,t=-2.66 p=8.50e-03 q=2.20e-02 d=0.20,,,,t=7.57 p=0.00e+00 q=0.00e+00 d=0.64,,t=-9.33 p=0.00e+00 q=0.00e+00 d=0.84,t=-2.50 p=1.32e-02 q=3.19e-02 d=0.23
labcoat vs library,t=-2.48 p=1.42e-02 q=3.40e-02 d=0.07,,,t=-3.56 p=5.00e-04 q=1.80e-03 d=0.21,,,t=3.86 p=2.00e-04 q=7.00e-04 d=0.30,,t=10.12 p=0.00e+00 q=0.00e+00 d=0.77,,,
stethoscope vs jeans,,,t=-3.05 p=2.70e-03 q=8.10e-03 d=0.28,t=-4.05 p=1.00e-04 q=4.00e-04 d=0.24,t=2.52 p=1.27e-02 q=3.09e-02 d=0.29,,t=7.26 p=0.00e+00 q=0.00e+00 d=0.70,,,t=-4.07 p=1.00e-04 q=3.00e-04 d=0.39,t=2.61 p=9.80e-03 q=2.48e-02 d=0.27,
stethoscope vs cardigan,,,t=-3.04 p=2.70e-03 q=8.20e-03 d=0.24,t=-3.53 p=5.00e-04 q=2.00e-03 d=0.18,t=3.50 p=6.00e-04 q=2.20e-03 d=0.32,,t=5.07 p=0.00e+00 q=0.00e+00 d=0.38,t=3.05 p=2.60e-03 q=7.90e-03 d=0.23,t=7.18 p=0.00e+00 q=0.00e+00 d=0.83,t=-2.83 p=5.20e-03 q=1.45e-02 d=0.23,t=-6.59 p=0.00e+00 q=0.00e+00 d=0.54,
stethoscope vs miniskirt,,,,t=-4.72 p=0.00e+00 q=0.00e+00 d=0.36,t=2.52 p=1.27e-02 q=3.08e-02 d=0.28,,t=6.79 p=0.00e+00 q=0.00e+00 d=0.58,,t=5.26 p=0.00e+00 q=0.00e+00 d=0.58,t=-3.24 p=1.40e-03 q=4.60e-03 d=0.27,t=-10.60 p=0.00e+00 q=0.00e+00 d=1.00,t=-8.01 p=0.00e+00 q=0.00e+00 d=0.83
stethoscope vs academicgown,t=-5.46 p=0.00e+00 q=0.00e+00 d=0.51,t=-4.49 p=0.00e+00 q=1.00e-04 d=0.42,,t=-8.76 p=0.00e+00 q=0.00e+00 d=0.76,,t=3.07 p=2.50e-03 q=7.70e-03 d=0.19,,t=-3.30 p=1.10e-03 q=3.90e-03 d=0.28,t=-10.65 p=0.00e+00 q=0.00e+00 d=0.90,t=-5.59 p=0.00e+00 q=0.00e+00 d=0.58,t=-5.72 p=0.00e+00 q=0.00e+00 d=0.48,t=16.36 p=0.00e+00 q=0.00e+00 d=1.82
stethoscope vs pajamas,t=-3.80 p=2.00e-04 q=8.00e-04 d=0.06,t=-2.70 p=7.60e-03 q=2.00e-02 d=0.15,t=-3.80 p=2.00e-04 q=8.00e-04 d=0.24,t=-2.67 p=8.20e-03 q=2.14e-02 d=0.06,,t=3.43 p=8.00e-04 q=2.70e-03 d=0.19,t=4.00 p=1.00e-04 q=4.00e-04 d=0.31,t=6.68 p=0.00e+00 q=0.00e+00 d=0.36,t=8.68 p=0.00e+00 q=0.00e+00 d=0.87,,t=-4.56 p=0.00e+00 q=1.00e-04 d=0.38,t=3.02 p=2.90e-03 q=8.60e-03 d=0.30
stethoscope vs oscilloscope,t=-3.00 p=3.10e-03 q=9.20e-03 d=0.12,,t=3.28 p=1.20e-03 q=4.10e-03 d=0.21,t=-3.77 p=2.00e-04 q=9.00e-04 d=0.23,,,t=5.19 p=0.00e+00 q=0.00e+00 d=0.37,,,,t=-6.05 p=0.00e+00 q=0.00e+00 d=0.64,
stethoscope vs suit,,,,t=-5.69 p=0.00e+00 q=0.00e+00 d=0.49,t=2.48 p=1.40e-02 q=3.35e-02 d=0.32,,t=5.28 p=0.00e+00 q=0.00e+00 d=0.50,,t=-5.79 p=0.00e+00 q=0.00e+00 d=0.64,t=-3.69 p=3.00e-04 q=1.20e-03 d=0.38,,t=16.25 p=0.00e+00 q=0.00e+00 d=1.87
stethoscope vs notePC,t=-3.13 p=2.00e-03 q=6.40e-03 d=0.03,,t=2.99 p=3.20e-03 q=9.50e-03 d=0.14,,,t=3.24 p=1.40e-03 q=4.60e-03 d=0.19,t=3.89 p=1.00e-04 q=6.00e-04 d=0.23,t=-3.19 p=1.70e-03 q=5.30e-03 d=0.19,t=2.84 p=5.10e-03 q=1.41e-02 d=0.18,t=2.73 p=6.90e-03 q=1.83e-02 d=0.17,,t=17.53 p=0.00e+00 q=0.00e+00 d=1.73
stethoscope vs sunscreen,,,,,t=2.38 p=1.85e-02 q=4.26e-02 d=0.12,t=2.41 p=1.70e-02 q=3.96e-02 d=0.13,,t=-6.36 p=0.00e+00 q=0.00e+00 d=0.37,t=-2.58 p=1.08e-02 q=2.69e-02 d=0.23,,t=3.05 p=2.60e-03 q=7.90e-03 d=0.26,t=8.63 p=0.00e+00 q=0.00e+00 d=1.14
stethoscope vs wig,,t=-2.43 p=1.62e-02 q=3.81e-02 d=0.13,t=-3.12 p=2.10e-03 q=6.60e-03 d=0.29,t=-4.92 p=0.00e+00 q=0.00e+00 d=0.30,,,t=2.69 p=7.90e-03 q=2.07e-02 d=0.23,,t=2.62 p=9.50e-03 q=2.42e-02 d=0.29,t=-5.01 p=0.00e+00 q=0.00e+00 d=0.54,,t=2.46 p=1.50e-02 q=3.55e-02 d=0.26
stethoscope vs lipstick,t=-2.78 p=6.10e-03 q=1.66e-02 d=0.23,t=-5.50 p=0.00e+00 q=0.00e+00 d=0.35,t=3.05 p=2.60e-03 q=7.90e-03 d=0.27,t=-6.80 p=0.00e+00 q=0.00e+00 d=0.57,t=2.67 p=8.20e-03 q=2.12e-02 d=0.21,,,t=-5.08 p=0.00e+00 q=0.00e+00 d=0.29,t=7.88 p=0.00e+00 q=0.00e+00 d=0.70,t=-3.83 p=2.00e-04 q=7.00e-04 d=0.37,,
stethoscope vs bra,,,t=2.59 p=1.04e-02 q=2.60e-02 d=0.15,,t=2.95 p=3.60e-03 q=1.04e-02 d=0.16,t=5.54 p=0.00e+00 q=0.00e+00 d=0.30,,,t=2.81 p=5.50e-03 q=1.51e-02 d=0.28,t=-4.77 p=0.00e+00 q=0.00e+00 d=0.45,,t=-3.61 p=4.00e-04 q=1.50e-03 d=0.38
stethoscope vs windsor,t=-4.80 p=0.00e+00 q=0.00e+00 d=0.51,t=-5.88 p=0.00e+00 q=0.00e+00 d=0.53,,t=-9.75 p=0.00e+00 q=0.00e+00 d=1.02,t=3.48 p=6.00e-04 q=2.30e-03 d=0.36,,t=2.78 p=6.10e-03 q=1.65e-02 d=0.27,,t=-9.01 p=0.00e+00 q=0.00e+00 d=0.91,t=-5.38 p=0.00e+00 q=0.00e+00 d=0.52,t=-2.51 p=1.31e-02 q=3.18e-02 d=0.21,t=33.86 p=0.00e+00 q=0.00e+00 d=2.41
stethoscope vs desk,t=-3.39 p=8.00e-04 q=3.00e-03 d=0.08,,,,t=-2.86 p=4.80e-03 q=1.34e-02 d=0.22,,t=2.53 p=1.24e-02 q=3.03e-02 d=0.17,,t=4.84 p=0.00e+00 q=0.00e+00 d=0.37,,t=-4.46 p=0.00e+00 q=1.00e-04 d=0.43,t=2.97 p=3.40e-03 q=1.00e-02 d=0.32
stethoscope vs library,t=-2.84 p=5.10e-03 q=1.41e-02 d=0.09,,,t=-4.19 p=0.00e+00 q=2.00e-04 d=0.26,,,t=6.37 p=0.00e+00 q=0.00e+00 d=0.53,,t=6.35 p=0.00e+00 q=0.00e+00 d=0.53,t=-3.41 p=8.00e-04 q=2.80e-03 d=0.34,t=7.51 p=0.00e+00 q=0.00e+00 d=0.77,t=8.71 p=0.00e+00 q=0.00e+00 d=0.88
jeans vs cardigan,,,,,,,t=-4.67 p=0.00e+00 q=0.00e+00 d=0.31,t=5.37 p=0.00e+00 q=0.00e+00 d=0.36,t=14.61 p=0.00e+00 q=0.00e+00 d=0.83,,t=-6.24 p=0.00e+00 q=0.00e+00 d=0.61,t=-3.07 p=2.40e-03 q=7.50e-03 d=0.17
jeans vs miniskirt,,,t=2.89 p=4.40e-03 q=1.24e-02 d=0.14,,,,,t=4.47 p=0.00e+00 q=1.00e-04 d=0.24,t=8.00 p=0.00e+00 q=0.00e+00 d=0.57,,t=-9.33 p=0.00e+00 q=0.00e+00 d=1.00,t=-9.27 p=0.00e+00 q=0.00e+00 d=0.77
jeans vs academicgown,t=-4.88 p=0.00e+00 q=0.00e+00 d=0.46,t=-4.52 p=0.00e+00 q=1.00e-04 d=0.47,t=2.94 p=3.70e-03 q=1.08e-02 d=0.34,t=-4.67 p=0.00e+00 q=0.00e+00 d=0.49,,,t=-9.52 p=0.00e+00 q=0.00e+00 d=0.91,,t=-9.67 p=0.00e+00 q=0.00e+00 d=0.95,t=-3.78 p=2.00e-04 q=9.00e-04 d=0.41,t=-5.36 p=0.00e+00 q=0.00e+00 d=0.53,t=9.64 p=0.00e+00 q=0.00e+00 d=1.09
jeans vs pajamas,,t=-2.44 p=1.55e-02 q=3.67e-02 d=0.16,,t=3.20 p=1.60e-03 q=5.20e-03 d=0.18,,,t=-4.68 p=0.00e+00 q=0.00e+00 d=0.40,t=4.32 p=0.00e+00 q=1.00e-04 d=0.47,t=10.48 p=0.00e+00 q=0.00e+00 d=0.86,t=2.98 p=3.30e-03 q=9.60e-03 d=0.29,t=-5.18 p=0.00e+00 q=0.00e+00 d=0.46,
jeans vs oscilloscope,,,t=5.44 p=0.00e+00 q=0.00e+00 d=0.49,,t=-3.67 p=3.00e-04 q=1.20e-03 d=0.42,,t=-3.52 p=6.00e-04 q=2.00e-03 d=0.35,,,t=3.33 p=1.10e-03 q=3.60e-03 d=0.32,t=-6.85 p=0.00e+00 q=0.00e+00 d=0.61,
jeans vs suit,,t=-2.82 p=5.30e-03 q=1.46e-02 d=0.25,,t=-2.78 p=6.00e-03 q=1.64e-02 d=0.24,,,t=-2.60 p=1.01e-02 q=2.54e-02 d=0.25,,t=-8.08 p=0.00e+00 q=0.00e+00 d=0.67,,t=-2.41 p=1.72e-02 q=4.00e-02 d=0.21,t=4.13 p=1.00e-04 q=3.00e-04 d=0.45
jeans vs notePC,,,t=5.30 p=0.00e+00 q=0.00e+00 d=0.41,t=4.69 p=0.00e+00 q=0.00e+00 d=0.26,,,t=-5.27 p=0.00e+00 q=0.00e+00 d=0.47,,,t=5.22 p=0.00e+00 q=0.00e+00 d=0.51,,t=6.50 p=0.00e+00 q=0.00e+00 d=0.71
jeans vs sunscreen,,,t=4.19 p=0.00e+00 q=2.00e-04 d=0.37,t=3.41 p=8.00e-04 q=2.80e-03 d=0.21,,,t=-6.00 p=0.00e+00 q=0.00e+00 d=0.60,t=-3.64 p=4.00e-04 q=1.40e-03 d=0.30,t=-2.72 p=7.10e-03 q=1.88e-02 d=0.27,t=4.94 p=0.00e+00 q=0.00e+00 d=0.47,,t=2.56 p=1.14e-02 q=2.82e-02 d=0.30
jeans vs wig,,,,,,t=-3.19 p=1.70e-03 q=5.40e-03 d=0.31,t=-4.89 p=0.00e+00 q=0.00e+00 d=0.45,,t=3.79 p=2.00e-04 q=8.00e-04 d=0.27,t=-2.97 p=3.40e-03 q=1.00e-02 d=0.31,t=-3.02 p=2.90e-03 q=8.60e-03 d=0.29,
jeans vs lipstick,,t=-3.58 p=4.00e-04 q=1.70e-03 d=0.39,t=4.83 p=0.00e+00 q=0.00e+00 d=0.56,t=-3.05 p=2.60e-03 q=8.00e-03 d=0.31,,t=-3.65 p=3.00e-04 q=1.30e-03 d=0.40,t=-8.02 p=0.00e+00 q=0.00e+00 d=0.79,t=-2.31 p=2.21e-02 q=4.95e-02 d=0.21,t=7.36 p=0.00e+00 q=0.00e+00 d=0.69,,t=-2.68 p=8.00e-03 q=2.10e-02 d=0.20,
jeans vs bra,,,t=5.41 p=0.00e+00 q=0.00e+00 d=0.42,t=3.44 p=7.00e-04 q=2.60e-03 d=0.20,,,t=-8.81 p=0.00e+00 q=0.00e+00 d=0.75,,t=3.22 p=1.50e-03 q=4.90e-03 d=0.26,,t=-2.85 p=4.80e-03 q=1.35e-02 d=0.24,t=-3.33 p=1.10e-03 q=3.60e-03 d=0.34
jeans vs windsor,t=-4.54 p=0.00e+00 q=1.00e-04 d=0.47,t=-5.71 p=0.00e+00 q=0.00e+00 d=0.60,,t=-7.06 p=0.00e+00 q=0.00e+00 d=0.75,,,t=-4.89 p=0.00e+00 q=0.00e+00 d=0.51,,t=-11.21 p=0.00e+00 q=0.00e+00 d=0.95,t=-2.53 p=1.24e-02 q=3.03e-02 d=0.27,t=-3.77 p=2.00e-04 q=9.00e-04 d=0.36,t=8.43 p=0.00e+00 q=0.00e+00 d=0.86
jeans vs desk,,,t=3.35 p=1.00e-03 q=3.40e-03 d=0.29,t=2.47 p=1.43e-02 q=3.42e-02 d=0.17,t=-5.84 p=0.00e+00 q=0.00e+00 d=0.64,,t=-5.48 p=0.00e+00 q=0.00e+00 d=0.55,,t=3.03 p=2.80e-03 q=8.50e-03 d=0.35,t=3.47 p=7.00e-04 q=2.40e-03 d=0.34,t=-4.89 p=0.00e+00 q=0.00e+00 d=0.52,
jeans vs library,,,t=3.72 p=3.00e-04 q=1.10e-03 d=0.34,,t=-4.38 p=0.00e+00 q=1.00e-04 d=0.48,,,,t=4.71 p=0.00e+00 q=0.00e+00 d=0.51,,t=3.48 p=6.00e-04 q=2.30e-03 d=0.34,t=3.50 p=6.00e-04 q=2.10e-03 d=0.36
cardigan vs miniskirt,,,,t=-2.36 p=1.95e-02 q=4.47e-02 d=0.18,,,t=2.77 p=6.20e-03 q=1.69e-02 d=0.20,,,,t=-5.55 p=0.00e+00 q=0.00e+00 d=0.49,t=-8.51 p=0.00e+00 q=0.00e+00 d=0.52
cardigan vs academicgown,t=-4.97 p=0.00e+00 q=0.00e+00 d=0.47,t=-4.18 p=0.00e+00 q=2.00e-04 d=0.41,t=3.03 p=2.80e-03 q=8.50e-03 d=0.31,t=-5.58 p=0.00e+00 q=0.00e+00 d=0.55,t=-2.48 p=1.41e-02 q=3.37e-02 d=0.26,,t=-6.63 p=0.00e+00 q=0.00e+00 d=0.52,t=-4.82 p=0.00e+00 q=0.00e+00 d=0.54,t=-16.19 p=0.00e+00 q=0.00e+00 d=1.60,t=-2.59 p=1.03e-02 q=2.60e-02 d=0.26,,t=9.76 p=0.00e+00 q=0.00e+00 d=0.91
cardigan vs pajamas,,,,t=2.48 p=1.40e-02 q=3.36e-02 d=0.11,t=-3.41 p=8.00e-04 q=2.80e-03 d=0.26,,,,t=3.06 p=2.60e-03 q=7.80e-03 d=0.25,t=2.65 p=8.80e-03 q=2.27e-02 d=0.20,t=3.13 p=2.00e-03 q=6.40e-03 d=0.29,t=3.17 p=1.80e-03 q=5.80e-03 d=0.30
cardigan vs oscilloscope,,,t=5.87 p=0.00e+00 q=0.00e+00 d=0.47,,t=-4.77 p=0.00e+00 q=0.00e+00 d=0.44,,,t=-5.56 p=0.00e+00 q=0.00e+00 d=0.49,t=-6.93 p=0.00e+00 q=0.00e+00 d=0.69,,,
cardigan vs suit,,,,t=-3.38 p=9.00e-04 q=3.10e-03 d=0.30,,,,t=-4.71 p=0.00e+00 q=0.00e+00 d=0.54,t=-13.47 p=0.00e+00 q=0.00e+00 d=1.12,,t=4.31 p=0.00e+00 q=1.00e-04 d=0.40,t=4.52 p=0.00e+00 q=1.00e-04 d=0.46
cardigan vs notePC,,,t=5.08 p=0.00e+00 q=0.00e+00 d=0.39,t=3.90 p=1.00e-04 q=6.00e-04 d=0.19,t=-2.77 p=6.20e-03 q=1.67e-02 d=0.26,,,t=-6.35 p=0.00e+00 q=0.00e+00 d=0.45,t=-7.26 p=0.00e+00 q=0.00e+00 d=0.74,t=4.17 p=0.00e+00 q=2.00e-04 d=0.37,t=4.90 p=0.00e+00 q=0.00e+00 d=0.45,t=6.08 p=0.00e+00 q=0.00e+00 d=0.63
cardigan vs sunscreen,,,t=4.51 p=0.00e+00 q=1.00e-04 d=0.35,t=2.86 p=4.80e-03 q=1.35e-02 d=0.14,,,t=-3.00 p=3.10e-03 q=9.20e-03 d=0.28,t=-8.48 p=0.00e+00 q=0.00e+00 d=0.63,t=-8.56 p=0.00e+00 q=0.00e+00 d=0.95,t=3.45 p=7.00e-04 q=2.50e-03 d=0.32,t=6.70 p=0.00e+00 q=0.00e+00 d=0.65,t=3.36 p=1.00e-03 q=3.30e-03 d=0.38
cardigan vs wig,,,,t=-2.33 p=2.07e-02 q=4.70e-02 d=0.12,,t=-3.01 p=3.00e-03 q=9.00e-03 d=0.26,,t=-4.36 p=0.00e+00 q=1.00e-04 d=0.41,t=-7.96 p=0.00e+00 q=0.00e+00 d=0.64,,,t=3.05 p=2.60e-03 q=7.90e-03 d=0.26
cardigan vs lipstick,,t=-3.65 p=3.00e-04 q=1.30e-03 d=0.33,t=5.11 p=0.00e+00 q=0.00e+00 d=0.55,t=-4.00 p=1.00e-04 q=4.00e-04 d=0.38,,t=-3.72 p=3.00e-04 q=1.10e-03 d=0.34,t=-4.81 p=0.00e+00 q=0.00e+00 d=0.43,t=-6.65 p=0.00e+00 q=0.00e+00 d=0.54,,,t=5.13 p=0.00e+00 q=0.00e+00 d=0.56,t=3.29 p=1.20e-03 q=4.10e-03 d=0.21
cardigan vs bra,,,t=5.31 p=0.00e+00 q=0.00e+00 d=0.40,t=2.68 p=8.00e-03 q=2.09e-02 d=0.13,,t=2.35 p=1.97e-02 q=4.49e-02 d=0.16,t=-6.08 p=0.00e+00 q=0.00e+00 d=0.43,t=-3.83 p=2.00e-04 q=7.00e-04 d=0.27,t=-4.18 p=0.00e+00 q=2.00e-04 d=0.41,,t=4.47 p=0.00e+00 q=1.00e-04 d=0.43,
cardigan vs windsor,t=-4.56 p=0.00e+00 q=1.00e-04 d=0.47,t=-6.01 p=0.00e+00 q=0.00e+00 d=0.53,,t=-7.63 p=0.00e+00 q=0.00e+00 d=0.81,,,,t=-5.20 p=0.00e+00 q=0.00e+00 d=0.54,t=-17.12 p=0.00e+00 q=0.00e+00 d=1.47,t=-2.35 p=2.00e-02 q=4.55e-02 d=0.23,t=4.41 p=0.00e+00 q=1.00e-04 d=0.27,t=6.17 p=0.00e+00 q=0.00e+00 d=0.71
cardigan vs desk,,,t=3.11 p=2.20e-03 q=6.80e-03 d=0.25,,t=-6.42 p=0.00e+00 q=0.00e+00 d=0.63,,t=-2.50 p=1.32e-02 q=3.18e-02 d=0.22,t=-3.55 p=5.00e-04 q=1.80e-03 d=0.30,t=-4.13 p=1.00e-04 q=3.00e-04 d=0.45,,,t=2.65 p=8.70e-03 q=2.25e-02 d=0.30
cardigan vs library,,,t=3.49 p=6.00e-04 q=2.20e-03 d=0.31,,t=-4.73 p=0.00e+00 q=0.00e+00 d=0.49,,,t=-2.59 p=1.05e-02 q=2.62e-02 d=0.27,,,t=8.30 p=0.00e+00 q=0.00e+00 d=0.98,t=3.83 p=2.00e-04 q=7.00e-04 d=0.41
miniskirt vs academicgown,t=-5.76 p=0.00e+00 q=0.00e+00 d=0.60,t=-3.89 p=1.00e-04 q=6.00e-04 d=0.44,,t=-3.36 p=1.00e-03 q=3.30e-03 d=0.36,,,t=-8.63 p=0.00e+00 q=0.00e+00 d=0.75,t=-3.39 p=9.00e-04 q=3.00e-03 d=0.39,t=-12.13 p=0.00e+00 q=0.00e+00 d=1.30,t=-3.29 p=1.20e-03 q=4.10e-03 d=0.34,t=6.84 p=0.00e+00 q=0.00e+00 d=0.70,t=19.51 p=0.00e+00 q=0.00e+00 d=1.46
miniskirt vs pajamas,,,,t=4.06 p=1.00e-04 q=3.00e-04 d=0.30,,,t=-3.04 p=2.70e-03 q=8.10e-03 d=0.29,,t=3.74 p=2.00e-04 q=1.00e-03 d=0.26,t=2.77 p=6.20e-03 q=1.67e-02 d=0.22,t=7.25 p=0.00e+00 q=0.00e+00 d=0.79,t=16.16 p=0.00e+00 q=0.00e+00 d=0.87
miniskirt vs oscilloscope,t=-2.79 p=5.80e-03 q=1.60e-02 d=0.19,,t=3.70 p=3.00e-04 q=1.20e-03 d=0.37,,t=-3.38 p=9.00e-04 q=3.10e-03 d=0.40,,t=-2.33 p=2.12e-02 q=4.79e-02 d=0.23,t=-3.13 p=2.10e-03 q=6.50e-03 d=0.33,t=-4.39 p=0.00e+00 q=1.00e-04 d=0.55,,t=6.79 p=0.00e+00 q=0.00e+00 d=0.67,t=5.65 p=0.00e+00 q=0.00e+00 d=0.73
miniskirt vs suit,t=-2.41 p=1.68e-02 q=3.92e-02 d=0.17,t=-2.79 p=5.80e-03 q=1.58e-02 d=0.22,,,,,,t=-3.23 p=1.50e-03 q=4.80e-03 d=0.36,t=-9.73 p=0.00e+00 q=0.00e+00 d=0.98,,t=9.47 p=0.00e+00 q=0.00e+00 d=0.83,t=11.40 p=0.00e+00 q=0.00e+00 d=1.09
